tag,map,pts,accepted,rejected,poses
full,/ws/gt_map/gt_map.pcd,3059991,540,0,541
us0001,/ws/gt_map/gt_map_us0001.pcd,3058868,544,0,545
us005,/ws/gt_map/gt_map_us005.pcd,2837469,562,0,563
us010,/ws/gt_map/gt_map_us010.pcd,2078386,630,0,631
us020,/ws/gt_map/gt_map_us020.pcd,943289,804,0,805
us030,/ws/gt_map/gt_map_us030.pcd,493858,935,0,936
us040,/ws/gt_map/gt_map_us040.pcd,296979,935,0,936
us050,/ws/gt_map/gt_map_us050.pcd,196404,935,0,936
np020,/ws/gt_map/gt_map_ds.pcd,943286,768,0,769
np030,/ws/gt_map/gt_map_ds03.pcd,493858,935,0,936
full_long,/ws/gt_map/gt_map.pcd,3059991,763,222,764
us050_long,/ws/gt_map/gt_map_us050.pcd,196404,2405,403,2406
full_long,/ws/gt_map/gt_map.pcd,3059991,729,225,730
us050_long,/ws/gt_map/gt_map_us050.pcd,196404,2335,404,2336
full_r05,/ws/gt_map/gt_map.pcd,3059991,1354,330,1355
us050_fit20,/ws/gt_map/gt_map_us050.pcd,196404,182,749,183
us050_fit20,/ws/gt_map/gt_map_us050.pcd,196404,182,750,183
us050_fast,/ws/gt_map/gt_map_us050.pcd,196404,0,3776,-1
us050_t16,/ws/gt_map/gt_map_us050.pcd,196404,2532,555,2533
us050_t16_fit10,/ws/gt_map/gt_map_us050.pcd,196404,2577,572,2578
us050_recover,/ws/gt_map/gt_map_us050.pcd,196404,2537,539,2538
full_t16,/ws/gt_map/gt_map.pcd,3059991,838,280,839
us050_nopred,/ws/gt_map/gt_map_us050.pcd,196404,2518,591,2519
us050_norej,/ws/gt_map/gt_map_us050.pcd,196404,3775,764,3776
full_norej,/ws/gt_map/gt_map.pcd,3059991,1235,247,1236
