wall_t,ref,other,dx,dy,dz,range_m,dyaw_deg
0.000,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.100,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.200,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.300,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.400,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.500,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.600,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.700,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.800,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
0.900,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.000,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.100,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.200,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.300,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.400,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.500,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.600,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.700,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.800,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
1.900,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.000,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.100,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.200,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.300,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.400,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.500,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.600,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.700,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.800,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
2.900,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.000,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.100,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.200,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.300,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.400,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.500,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.600,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.700,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.800,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
3.900,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.000,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.100,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.200,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.300,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.400,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.500,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.600,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.700,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.800,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
4.900,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.000,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.100,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.200,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.300,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.400,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.500,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.600,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.700,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.800,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
5.900,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.000,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.100,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.200,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.300,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.400,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.500,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.600,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.700,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.800,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
6.900,robot1,robot2,-18.6184,1.0863,2.8285,18.8633,20.52
