time_sec,cpu_ticks,rss_kb
1789168624.427850588,28,131332
1789168626.449818412,29,131332
1789168628.466115639,74,179332
1789168630.481935648,275,224092
1789168632.497782887,425,228128
1789168634.513557389,569,228128
1789168636.534051284,714,228128
1789168638.553881498,857,228128
1789168640.568616124,1000,228128
1789168642.583495101,1142,228128
1789168644.599289983,1290,228128
1789168646.614100831,1433,228392
1789168648.629925247,1578,229184
1789168650.647549983,1728,229184
1789168652.669167777,1874,229184
1789168654.685289953,2022,229184
1789168656.699661184,2172,229184
1789168658.714999519,2320,229184
1789168660.728851678,2468,229184
1789168662.751580897,2615,229184
1789168664.773887044,2760,229184
1789168666.790536293,2908,229184
1789168668.810437481,3055,229184
1789168670.833902734,3206,229184
1789168672.860939540,3355,229448
1789168674.878065434,3510,229448
1789168676.894941472,3659,229448
1789168678.909836488,3806,229448
1789168680.923793233,3949,229448
1789168682.949056285,4099,229448
1789168684.964826538,4251,229448
1789168686.982451672,4399,229448
1789168688.996557673,4551,229448
1789168691.008772155,4701,229448
1789168693.029170352,4849,229448
1789168695.049067175,4998,229448
1789168697.061790913,5141,230240
1789168699.075060477,5283,230240
1789168701.096610812,5423,230504
1789168703.113559133,5568,230504
1789168705.132898050,5714,230504
1789168707.151627273,5858,230504
1789168709.171722868,6001,230504
1789168711.188385026,6146,230504
1789168713.200819891,6295,230504
1789168715.217032520,6441,230504
1789168717.248801599,6587,230504
1789168719.269821338,6732,230504
1789168721.289256442,6873,230504
1789168723.307750461,7012,230504
1789168725.322739365,7153,230504
1789168727.337121905,7292,230504
1789168729.351876161,7435,230504
1789168731.370451029,7583,230504
1789168733.393494829,7728,230504
1789168735.409743658,7879,230504
1789168737.430042668,8028,230504
1789168739.445731347,8182,230504
1789168741.466596413,8332,230504
1789168743.487551309,8478,230504
1789168745.507063106,8555,230472
1789168747.528595836,8556,230472
1789168749.550209050,8560,225024
1789168751.573064254,8560,225024
1789168753.593554888,8560,225024
1789168755.617454038,8561,225024
