time_sec,cpu_ticks,rss_kb
1789167747.599332998,28,131320
1789167749.614708748,115,174404
1789167751.628669754,315,218468
1789167753.642078434,514,231504
1789167755.655625492,714,231504
1789167757.671046674,909,234144
1789167759.683533950,1107,234144
1789167761.699493142,1305,224672
1789167763.713048361,1493,230740
1789167765.726369089,1688,231004
1789167767.739560770,1888,233644
1789167769.752644492,2088,224956
1789167771.768304404,2287,231308
1789167773.779659254,2487,231308
1789167775.793861980,2687,232100
1789167777.807161440,2887,232612
1789167779.819397727,3086,231888
1789167781.834905866,3287,233472
1789167783.849045132,3484,235320
1789167785.860178568,3674,235320
1789167787.872598414,3865,235320
1789167789.884819234,4056,235320
1789167791.897555188,4252,235320
1789167793.910617663,4438,235320
1789167795.925883494,4634,235320
1789167797.938491219,4818,235320
1789167799.951199223,5008,235320
1789167801.964814658,5198,235320
1789167803.977824026,5397,235320
1789167805.990181310,5598,235320
1789167808.003233351,5798,235320
1789167810.019003096,5998,235320
1789167812.033965493,6180,235320
1789167814.049272625,6366,235320
1789167816.062211104,6535,235320
1789167818.080162943,6719,235320
1789167820.098951209,6908,235320
1789167822.113713675,7087,235320
1789167824.125497912,7269,235320
1789167826.137533161,7454,235320
1789167828.151648603,7649,235320
1789167830.164041680,7842,235320
1789167832.179355126,8026,235320
1789167834.193824110,8209,235320
1789167836.208662926,8404,235320
1789167838.221851477,8591,235320
1789167840.233874604,8783,235320
1789167842.247862310,8967,235320
1789167844.261430269,9164,235320
1789167846.273611619,9364,235320
1789167848.287888975,9553,235320
1789167850.301288435,9750,235320
1789167852.314677726,9930,235320
1789167854.329334819,10120,235320
1789167856.341944848,10305,235320
1789167858.354869578,10487,235320
1789167860.368781532,10676,235320
1789167862.382487541,10873,235320
1789167864.395692655,11056,235320
1789167866.407474783,11234,235320
1789167868.423688797,11371,235508
1789167870.444072901,11375,230316
1789167872.465127714,11375,230316
1789167874.488429677,11375,230316
1789167876.510002634,11375,230316
1789167878.529518709,11375,230316
