message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.8200000000,-4.1100000000,-1.1700000000,0.0000000000,0.0000000000,0.8550024007,0.5186240400,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495429.751981974,map,7.8241271973,-4.0956788063,-1.1778072119,0.0385594296,0.0575164052,0.8534944276,0.5164807616,0.0432127826 0 0 0 0 0 0 0.0432127826 0 0 0 0 0 0 0.09478815155 0 0 0 0 0 0 0.0007592619076 0 0 0 0 0 0 0.0007592619076 0 0 0 0 0 0 0.001316336634
2,1785495430.751563072,map,7.8554215431,-4.1601705551,-1.1798257828,0.0378472477,0.0577567427,0.8533254729,0.5167855871,0.04322302507 0 0 0 0 0 0 0.04322302507 0 0 0 0 0 0 0.09480332092 0 0 0 0 0 0 0.0007594988705 0 0 0 0 0 0 0.0007594988705 0 0 0 0 0 0 0.001316648637
3,1785495431.052498102,map,7.8301448822,-4.1124663353,-1.1777633429,0.0382661278,0.0575274368,0.8534835512,0.5165191541,0.04323769768 0 0 0 0 0 0 0.04323769768 0 0 0 0 0 0 0.09482505042 0 0 0 0 0 0 0.0007598383413 0 0 0 0 0 0 0.0007598383413 0 0 0 0 0 0 0.001317095591
4,1785495431.352257013,map,7.8422412872,-4.1277399063,-1.1797972918,0.0378679987,0.0576785909,0.8533671683,0.5167239644,0.04319781579 0 0 0 0 0 0 0.04319781579 0 0 0 0 0 0 0.09476598428 0 0 0 0 0 0 0.0007589156621 0 0 0 0 0 0 0.0007589156621 0 0 0 0 0 0 0.001315880719
5,1785495431.551650047,map,7.8579525948,-4.1462488174,-1.1790609360,0.0382239765,0.0574119393,0.8535967694,0.5163481727,0.04359685648 0 0 0 0 0 0 0.04359685648 0 0 0 0 0 0 0.09535657702 0 0 0 0 0 0 0.0007681536322 0 0 0 0 0 0 0.0007681536322 0 0 0 0 0 0 0.001328036193
6,1785495431.951628923,map,7.8583722115,-4.1500015259,-1.1792443991,0.0380400350,0.0575788313,0.8535822689,0.5163670171,0.04321148434 0 0 0 0 0 0 0.04321148434 0 0 0 0 0 0 0.09478622876 0 0 0 0 0 0 0.0007592318727 0 0 0 0 0 0 0.0007592318727 0 0 0 0 0 0 0.001316297086
7,1785495432.052097082,map,7.8596119881,-4.1463913918,-1.1805284023,0.0380940621,0.0577841755,0.8536067056,0.5162997599,0.04318482916 0 0 0 0 0 0 0.04318482916 0 0 0 0 0 0 0.09474674883 0 0 0 0 0 0 0.0007586152417 0 0 0 0 0 0 0.0007586152417 0 0 0 0 0 0 0.001315485123
8,1785495432.251545906,map,7.8614215851,-4.1473450661,-1.1804258823,0.0381332533,0.0575224070,0.8535136165,0.5164799394,0.04324807127 0 0 0 0 0 0 0.04324807127 0 0 0 0 0 0 0.09484041253 0 0 0 0 0 0 0.0007600783594 0 0 0 0 0 0 0.0007600783594 0 0 0 0 0 0 0.001317411588
9,1785495432.351875067,map,7.8604111671,-4.1428785324,-1.1817671061,0.0379843655,0.0577600555,0.8535558594,0.5163945683,0.04331557735 0 0 0 0 0 0 0.04331557735 0 0 0 0 0 0 0.09494036677 0 0 0 0 0 0 0.0007616404983 0 0 0 0 0 0 0.0007616404983 0 0 0 0 0 0 0.001319467941
