message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,8.3300000000,-3.7800000000,-1.3900000000,0.0000000000,0.0000000000,0.8530502707,0.5218287416,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785497056.005571604,map,8.3374547958,-3.8211588860,-1.3936229944,0.0507688514,0.0578559803,0.8509612051,0.5195577658,0.04276538234 0 0 0 0 0 0 0.04276538234 0 0 0 0 0 0 0.09412496762 0 0 0 0 0 0 0.0007489198901 0 0 0 0 0 0 0.0007489198901 0 0 0 0 0 0 0.001302708043
2,1785497056.805559397,map,8.3488931656,-3.7981784344,-1.3946161270,0.0509116240,0.0576636467,0.8511649550,0.5192312794,0.04275902425 0 0 0 0 0 0 0.04275902425 0 0 0 0 0 0 0.09411553486 0 0 0 0 0 0 0.0007487730412 0 0 0 0 0 0 0.0007487730412 0 0 0 0 0 0 0.001302514364
3,1785497057.305518866,map,8.3367309570,-3.7884242535,-1.3941684961,0.0510399775,0.0575839087,0.8510892354,0.5193515696,0.04274006802 0 0 0 0 0 0 0.04274006802 0 0 0 0 0 0 0.09408741038 0 0 0 0 0 0 0.0007483352417 0 0 0 0 0 0 0.0007483352417 0 0 0 0 0 0 0.001301936924
4,1785497057.506054163,map,8.3365335464,-3.7908177376,-1.3933253288,0.0508635505,0.0575461522,0.8510088444,0.5195047974,0.04274924394 0 0 0 0 0 0 0.04274924394 0 0 0 0 0 0 0.09410102453 0 0 0 0 0 0 0.0007485471584 0 0 0 0 0 0 0.0007485471584 0 0 0 0 0 0 0.001302216439
5,1785497057.805523872,map,8.3345556259,-3.8032872677,-1.3933374882,0.0508156945,0.0577777501,0.8510210595,0.5194637570,0.04276464004 0 0 0 0 0 0 0.04276464004 0 0 0 0 0 0 0.09412386635 0 0 0 0 0 0 0.0007489027453 0 0 0 0 0 0 0.0007489027453 0 0 0 0 0 0 0.001302685431
6,1785497058.005958796,map,8.3355655670,-3.7995193005,-1.3929404020,0.0509019844,0.0577288837,0.8510206113,0.5194615267,0.04274262584 0 0 0 0 0 0 0.04274262584 0 0 0 0 0 0 0.09409120543 0 0 0 0 0 0 0.0007483943137 0 0 0 0 0 0 0.0007483943137 0 0 0 0 0 0 0.00130201484
7,1785497058.105751276,map,8.3403434753,-3.7977538109,-1.3936525583,0.0508725869,0.0576706317,0.8510387969,0.5194410590,0.04275848107 0 0 0 0 0 0 0.04275848107 0 0 0 0 0 0 0.09411472901 0 0 0 0 0 0 0.000748760496 0 0 0 0 0 0 0.000748760496 0 0 0 0 0 0 0.001302497818
8,1785497058.205631495,map,8.3444290161,-3.7954251766,-1.3938539028,0.0508237612,0.0576076137,0.8511190118,0.5193214423,0.04274501429 0 0 0 0 0 0 0.04274501429 0 0 0 0 0 0 0.09409474913 0 0 0 0 0 0 0.0007484494743 0 0 0 0 0 0 0.0007484494743 0 0 0 0 0 0 0.001302087596
9,1785497058.305483341,map,8.3493356705,-3.7996904850,-1.3939254284,0.0506995444,0.0577709735,0.8511364717,0.5192867866,0.04275129803 0 0 0 0 0 0 0.04275129803 0 0 0 0 0 0 0.09410407208 0 0 0 0 0 0 0.0007485945983 0 0 0 0 0 0 0.0007485945983 0 0 0 0 0 0 0.00130227901
10,1785497058.405687332,map,8.3472814560,-3.7988970280,-1.3942179680,0.0507203821,0.0577334543,0.8511696283,0.5192346085,0.04274710063 0 0 0 0 0 0 0.04274710063 0 0 0 0 0 0 0.09409784458 0 0 0 0 0 0 0.0007484976583 0 0 0 0 0 0 0.0007484976583 0 0 0 0 0 0 0.00130215115
11,1785497058.506133080,map,8.3497180939,-3.7984197140,-1.3947484493,0.0508101459,0.0576830925,0.8511640110,0.5192405561,0.04276963343 0 0 0 0 0 0 0.04276963343 0 0 0 0 0 0 0.09413127432 0 0 0 0 0 0 0.0007490180767 0 0 0 0 0 0 0.0007490180767 0 0 0 0 0 0 0.001302837538
12,1785497058.605814695,map,8.3517408371,-3.7945079803,-1.3943536282,0.0508942225,0.0575702954,0.8511804303,0.5192179703,0.04275875526 0 0 0 0 0 0 0.04275875526 0 0 0 0 0 0 0.09411513579 0 0 0 0 0 0 0.0007487668287 0 0 0 0 0 0 0.0007487668287 0 0 0 0 0 0 0.00130250617
13,1785497058.805493832,map,8.3521623611,-3.7962200642,-1.3952573538,0.0507221051,0.0576540086,0.8511826689,0.5192219093,0.04274261823 0 0 0 0 0 0 0.04274261823 0 0 0 0 0 0 0.09409119413 0 0 0 0 0 0 0.0007483941378 0 0 0 0 0 0 0.0007483941378 0 0 0 0 0 0 0.001302014608
14,1785497058.905643940,map,8.3532791138,-3.7973225117,-1.3949222565,0.0508032728,0.0577645247,0.8511838106,0.5191997675,0.04275408793 0 0 0 0 0 0 0.04275408793 0 0 0 0 0 0 0.09410821127 0 0 0 0 0 0 0.0007486590325 0 0 0 0 0 0 0.0007486590325 0 0 0 0 0 0 0.001302363995
15,1785497059.005920410,map,8.3529443741,-3.7996430397,-1.3951908350,0.0507600333,0.0577849503,0.8511789471,0.5192097192,0.04275039348 0 0 0 0 0 0 0.04275039348 0 0 0 0 0 0 0.09410273005 0 0 0 0 0 0 0.0007485737074 0 0 0 0 0 0 0.0007485737074 0 0 0 0 0 0 0.001302251456
