time_sec,cpu_ticks,rss_kb
1789398372.359658040,119,83012
1789398374.374868629,238,110348
1789398376.389345328,400,111504
1789398378.408230127,548,126740
1789398380.426523438,704,159668
1789398382.444886131,848,181964
1789398384.466939991,992,181964
1789398386.487453430,1140,152596
1789398388.503524895,1295,152596
1789398390.515358100,1447,152596
1789398392.533759804,1599,171552
1789398394.546520329,1747,183272
1789398396.561832942,1899,184540
1789398398.575812630,2052,180052
1789398400.590431467,2209,156032
1789398402.603603426,2361,155772
1789398404.617590729,2513,161576
1789398406.637036124,2666,175596
1789398408.653373544,2812,173520
1789398410.670382148,2960,185972
1789398412.690187677,3109,188104
1789398414.707928726,3257,175276
1789398416.721406982,3407,182972
1789398418.738255670,3554,189204
1789398420.753341899,3706,192708
1789398422.769789750,3862,162256
1789398424.783429890,4013,190764
1789398426.799786316,4169,162000
1789398428.816263719,4321,168068
1789398430.836384358,4476,174404
1789398432.849616273,4631,189528
1789398434.862179499,4787,192708
1789398436.874798488,4939,181012
1789398438.889473250,5088,181012
1789398440.902167285,5237,179212
1789398442.924181386,5390,187004
1789398444.940406102,5544,193940
1789398446.955371343,5701,165808
1789398448.967607281,5855,166172
1789398450.979931592,6009,166172
1789398452.992594486,6163,165780
1789398455.005872638,6317,165780
1789398457.026674461,6470,173444
1789398459.044581767,6628,188916
1789398461.058392404,6784,180840
1789398463.072110522,6939,164640
1789398465.086234009,7094,164640
1789398467.098606889,7248,164648
1789398469.120576283,7402,169172
1789398471.136632621,7559,184640
1789398473.149533963,7714,163524
1789398475.163005222,7868,163524
1789398477.177170238,8025,163520
1789398479.192169205,8181,164200
1789398481.216614571,8332,184132
1789398483.239034613,8485,194956
1789398485.259911700,8635,195220
1789398487.274855577,8791,180528
1789398489.290353628,8945,164328
1789398491.307332706,9098,167912
1789398493.325669099,9193,164220
1789398495.347791390,9211,164220
1789398497.366918309,9227,164220
1789398499.387067054,9245,164220
1789398501.406451026,9263,164220
1789398503.428282750,9280,164220
1789398505.451478158,9297,164220
1789398507.471224210,9314,164220
1789398509.491823001,9331,164220
1789398511.512117408,9348,164220
