time_sec,cpu_ticks,rss_kb
1789399342.612799530,108,84224
1789399344.626828698,222,133520
1789399346.642176462,383,138432
1789399348.660089600,534,139628
1789399350.678223453,687,151716
1789399352.692171331,839,184640
1789399354.704583841,998,206564
1789399356.718778881,1157,221680
1789399358.733490764,1316,247132
1789399360.748877216,1483,253896
1789399362.764454369,1640,262644
1789399364.777945054,1796,271784
1789399366.791286282,1965,297752
1789399368.805308959,2128,311700
1789399370.820125406,2291,335384
1789399372.834109584,2467,341668
1789399374.848989068,2640,367152
1789399376.861884418,2810,367200
1789399378.875499427,2993,406268
1789399380.888938963,3176,403080
1789399382.902535729,3343,420900
1789399384.915734881,3530,458912
1789399386.929066206,3706,480864
1789399388.943548067,3882,492484
1789399390.958000791,4069,519328
1789399392.971360418,4251,543628
1789399394.984189727,4428,581116
1789399396.996479278,4613,603712
1789399399.010926431,4789,636444
1789399401.029704930,4966,674724
1789399403.041289189,5160,706044
1789399405.059944808,5333,740364
1789399407.075478415,5507,770988
1789399409.088533718,5702,798444
1789399411.103600864,5874,818772
1789399413.123167419,6057,850716
1789399415.137018732,6241,865500
1789399417.152844288,6419,883332
1789399419.164622750,6595,909204
1789399421.178613854,6765,932964
1789399423.192922220,6930,954612
1789399425.210646931,7100,977580
1789399427.227147250,7267,1005828
1789399429.244522396,7429,1025628
1789399431.258108623,7601,1043052
1789399433.272753548,7774,1086608
1789399435.289975559,7940,1108256
1789399437.304350438,8117,1139672
1789399439.318863221,8286,1177156
1789399441.333159382,8453,1203820
1789399443.346283503,8628,1233124
1789399445.361945256,8799,1274572
1789399447.374003371,8971,1304404
1789399449.389442343,9147,1336084
1789399451.400598289,9325,1385716
1789399453.416078094,9498,1422940
1789399455.428960559,9676,1452772
1789399457.442263517,9850,1503264
1789399459.454656227,10021,1545240
1789399461.468661167,10205,1561608
1789399463.488169415,10367,1576128
1789399465.510593372,10384,1576128
1789399467.533539134,10402,1576128
1789399469.557068750,10419,1576128
1789399471.579520695,10437,1576128
1789399473.600879832,10454,1576128
1789399475.623363811,10471,1576128
1789399477.642418360,10488,1576128
1789399479.664344362,10506,1576128
1789399481.683233699,10523,1576128
