time_sec,cpu_ticks,rss_kb
1789398857.440349727,104,82884
1789398859.455218931,216,149452
1789398861.475194506,360,139432
1789398863.493639988,500,173428
1789398865.511474577,652,177436
1789398867.526409606,801,176644
1789398869.542243113,954,205420
1789398871.556872641,1105,174984
1789398873.570494060,1255,175768
1789398875.585503238,1404,207572
1789398877.597640665,1552,176424
1789398879.611454041,1700,183308
1789398881.628575266,1851,213016
1789398883.643014884,2000,198764
1789398885.657930967,2149,198396
1789398887.671085986,2299,198396
1789398889.685156446,2448,198396
1789398891.702751425,2598,198396
1789398893.723762797,2751,197860
1789398895.739187484,2903,211640
1789398897.752544422,3055,181284
1789398899.766067107,3208,181284
1789398901.780609200,3360,181284
1789398903.793872853,3513,181284
1789398905.810233541,3665,186812
1789398907.828869697,3814,188396
1789398909.842836865,3964,181060
1789398911.857124916,4115,184660
1789398913.871509788,4263,206832
1789398915.886047065,4416,182676
1789398917.901715078,4568,182676
1789398919.919266499,4721,187288
1789398921.933096001,4875,198640
1789398923.946481814,5030,200060
1789398925.961427740,5184,182380
1789398927.977021302,5337,183564
1789398929.992468390,5493,186188
1789398932.009355912,5645,189088
1789398934.025759745,5798,194496
1789398936.039186812,5953,216936
1789398938.053740169,6107,215084
1789398940.068101166,6260,184728
1789398942.079066966,6414,184728
1789398944.090504500,6568,183248
1789398946.105924091,6722,183248
1789398948.118990818,6874,197500
1789398950.133060797,7028,200268
1789398952.147547054,7182,207132
1789398954.161271131,7336,183640
1789398956.173598533,7489,183268
1789398958.185634952,7643,183268
1789398960.200165435,7796,183268
1789398962.213893641,7950,188396
1789398964.227586448,8104,204628
1789398966.242118733,8257,211492
1789398968.256147750,8412,183672
1789398970.268650621,8566,183672
1789398972.283120902,8715,183672
1789398974.295402034,8863,182840
1789398976.314404445,9014,187852
1789398978.334146079,9115,183892
1789398980.355619123,9131,183892
1789398982.377777471,9148,183892
1789398984.399190536,9165,183892
1789398986.418280821,9182,183892
1789398988.441163085,9199,183892
1789398990.463456674,9215,183892
1789398992.484438262,9232,183892
1789398994.504554537,9248,183892
1789398996.524507960,9265,183892
