time_sec,cpu_ticks,rss_kb
1789401028.066758630,104,82892
1789401030.081551990,209,110348
1789401032.101796319,360,115464
1789401034.123696637,505,131224
1789401036.147737279,652,153888
1789401038.166576848,798,152976
1789401040.181443337,942,154600
1789401042.195596609,1084,153576
1789401044.215547623,1228,158956
1789401046.241193471,1375,166924
1789401048.261450154,1520,168948
1789401050.276277065,1664,161720
1789401052.290980627,1812,178624
1789401054.306074326,1953,170684
1789401056.333275390,2102,180156
1789401058.355983196,2251,180420
1789401060.371748827,2395,168280
1789401062.386255847,2537,177936
1789401064.399718040,2679,177936
1789401066.424929403,2822,177936
1789401068.446915433,2961,177936
1789401070.464676768,3100,179520
1789401072.482236033,3240,179520
1789401074.498019614,3377,179520
1789401076.524354482,3519,179520
1789401078.544934366,3660,179520
1789401080.565371858,3802,179520
1789401082.581513583,3943,179520
1789401084.595635054,4083,179520
1789401086.615375486,4222,173784
1789401088.638447625,4371,184352
1789401090.665012360,4517,186148
1789401092.681504611,4647,174784
1789401094.695639496,4775,186924
1789401096.712269760,4900,177512
1789401098.733438764,5029,178464
1789401100.748514964,5168,171284
1789401102.765007697,5310,188708
1789401104.782833636,5450,178020
1789401106.799486203,5591,178092
1789401108.823448399,5733,190232
1789401110.848470945,5877,188684
1789401112.864803967,6017,190768
1789401114.879906721,6157,191296
1789401116.892746022,6299,191296
1789401118.905453614,6439,191296
1789401120.925213466,6579,191296
1789401122.944233274,6718,191296
1789401124.963637580,6862,191296
1789401126.978905561,7006,191296
1789401128.992982376,7144,191296
1789401131.013797253,7279,191296
1789401133.036036947,7419,191296
1789401135.054107293,7561,191296
1789401137.069068769,7700,191296
1789401139.090757876,7834,191296
1789401141.117165426,7975,191296
1789401143.138719648,8118,191296
1789401145.160442756,8255,187836
1789401147.177932963,8386,178208
1789401149.196982189,8450,180644
1789401151.220912830,8466,180644
1789401153.250020428,8483,180644
1789401155.273013038,8500,180644
1789401157.296946444,8517,180644
1789401159.322350968,8534,180644
1789401161.344928275,8550,180644
1789401163.368636933,8567,180644
1789401165.391981626,8584,180644
1789401167.416265132,8600,180644
