time_sec,cpu_ticks,rss_kb
1789401836.680839940,109,84196
1789401838.703948788,217,111344
1789401840.723922258,366,118212
1789401842.741601698,515,130168
1789401844.758420723,660,146672
1789401846.782900718,805,199456
1789401848.800558350,962,210524
1789401850.816292115,1106,231012
1789401852.829161881,1254,239988
1789401854.842955526,1419,260316
1789401856.859580185,1568,264004
1789401858.874400427,1723,287520
1789401860.887767952,1895,297120
1789401862.900800482,2067,313204
1789401864.913858390,2253,333128
1789401866.927355742,2440,345088
1789401868.940635856,2621,355912
1789401870.960660840,2797,374460
1789401872.975596039,2989,404272
1789401874.989645733,3170,402772
1789401877.002466731,3360,425544
1789401879.016773603,3536,432408
1789401881.030767973,3708,456088
1789401883.049631882,3872,468232
1789401885.062857861,4049,479848
1789401887.080065408,4210,487348
1789401889.093235133,4370,503452
1789401891.106032964,4546,512596
1789401893.117948328,4712,514344
1789401895.133205950,4882,551548
1789401897.146451572,5064,568916
1789401899.163368690,5234,586076
1789401901.178757536,5405,604448
1789401903.191905619,5584,617360
1789401905.206833163,5783,622376
1789401907.220365165,5945,641912
1789401909.233118468,6144,658544
1789401911.246065171,6317,657232
1789401913.259662729,6516,691732
1789401915.273604752,6716,707596
1789401917.285573235,6915,699492
1789401919.299996067,7101,716124
1789401921.314582474,7284,723000
1789401923.329853687,7461,735140
1789401925.343229947,7640,755732
1789401927.355561563,7824,779712
1789401929.368262634,7998,793704
1789401931.380198379,8169,807132
1789401933.393212741,8363,822444
1789401935.406416851,8539,839236
1789401937.420418753,8723,870096
1789401939.433213359,8906,886992
1789401941.443978999,9081,902804
1789401943.456291046,9266,926032
1789401945.468271065,9446,945304
1789401947.487303943,9629,964020
1789401949.504334509,9820,984880
1789401951.516113136,10008,1009412
1789401953.528773583,10194,1030268
1789401955.542510564,10387,1075132
1789401957.562351954,10482,1087892
1789401959.583471536,10499,1087892
1789401961.602885979,10517,1087892
1789401963.625629622,10535,1087892
1789401965.646721115,10552,1087892
1789401967.666916883,10570,1087892
1789401969.690700114,10588,1087892
1789401971.711255020,10605,1087892
1789401973.733194833,10622,1087892
1789401975.751955118,10639,1087892
