time_sec,cpu_ticks,rss_kb
1789401513.285567852,107,82884
1789401515.303091746,209,116724
1789401517.322449859,348,135460
1789401519.341904735,490,166748
1789401521.364514819,631,187980
1789401523.381577783,763,188508
1789401525.398734084,897,184488
1789401527.417953750,1039,183956
1789401529.436696752,1179,198868
1789401531.451331187,1324,198168
1789401533.467346061,1463,192968
1789401535.482313694,1599,208276
1789401537.496287108,1747,201436
1789401539.512330415,1892,208064
1789401541.530514429,2038,210300
1789401543.551590489,2177,211620
1789401545.569875834,2314,211620
1789401547.585382879,2458,205536
1789401549.599653311,2600,205744
1789401551.612625339,2748,201648
1789401553.637039205,2892,211020
1789401555.653286497,3038,201648
1789401557.671044686,3175,205744
1789401559.686226010,3309,205744
1789401561.700924588,3442,201648
1789401563.714075905,3582,201908
1789401565.730663478,3737,212992
1789401567.745090524,3884,211936
1789401569.758536855,4025,207024
1789401571.772687256,4181,202560
1789401573.785023138,4336,206616
1789401575.798085490,4488,206616
1789401577.815333646,4603,205612
1789401579.836404639,4736,212316
1789401581.851560451,4863,201244
1789401583.869834992,4999,202432
1789401585.887253323,5133,200716
1789401587.901074781,5285,224756
1789401589.914700141,5421,228452
1789401591.928050716,5561,231356
1789401593.940671351,5703,231356
1789401595.957916177,5844,231356
1789401597.975910417,5981,231356
1789401599.992827396,6118,231356
1789401602.009413529,6257,211476
1789401604.029035862,6396,213400
1789401606.053733351,6536,220928
1789401608.069779793,6675,212568
1789401610.080779478,6836,212600
1789401612.093697057,6996,211576
1789401614.105558430,7144,213848
1789401616.126979834,7276,215428
1789401618.146437697,7411,219344
1789401620.167791311,7549,211624
1789401622.181188929,7685,210172
1789401624.195144476,7831,211756
1789401626.209712350,7987,211756
1789401628.225851694,8124,218648
1789401630.240820563,8258,217960
1789401632.256035048,8408,204684
1789401634.271728392,8513,222760
1789401636.293493345,8531,222760
1789401638.314584259,8548,222760
1789401640.337647016,8565,222760
1789401642.359762491,8582,222760
1789401644.380267631,8599,222760
1789401646.402630824,8617,222760
1789401648.424156782,8634,222760
1789401650.446036384,8651,222760
1789401652.466681320,8668,222760
