message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.8200000000,-4.1100000000,-1.1700000000,0.0000000000,0.0000000000,0.8550024007,0.5186240400,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495426.753357887,map,7.8420553207,-4.0972304344,-1.1599336863,0.0361056073,0.0596478534,0.8545727039,0.5146299572,0.0429742146 0 0 0 0 0 0 0.0429742146 0 0 0 0 0 0 0.09443466062 0 0 0 0 0 0 0.0007537450874 0 0 0 0 0 0 0.0007537450874 0 0 0 0 0 0 0.001309069437
2,1785495429.152035952,map,7.8437461853,-4.1142725945,-1.1620337963,0.0364790045,0.0589981680,0.8541015562,0.5154600602,0.04292391128 0 0 0 0 0 0 0.04292391128 0 0 0 0 0 0 0.09436008451 0 0 0 0 0 0 0.0007525824566 0 0 0 0 0 0 0.0007525824566 0 0 0 0 0 0 0.00130753711
3,1785495429.452049017,map,7.8441438675,-4.1421365738,-1.1599969864,0.0359479617,0.0597313129,0.8537990130,0.5159138246,0.04368280031 0 0 0 0 0 0 0.04368280031 0 0 0 0 0 0 0.0954836617 0 0 0 0 0 0 0.00077014502 0 0 0 0 0 0 0.00077014502 0 0 0 0 0 0 0.001330654192
4,1785495429.651681900,map,7.8171277046,-4.1171445847,-1.1585189104,0.0363882994,0.0594449120,0.8540801010,0.5154506071,0.04312056136 0 0 0 0 0 0 0.04312056136 0 0 0 0 0 0 0.09465154322 0 0 0 0 0 0 0.0007571287422 0 0 0 0 0 0 0.0007571287422 0 0 0 0 0 0 0.001313527414
5,1785495429.852205038,map,7.8556399345,-4.1359133720,-1.1610431671,0.0354382065,0.0593444485,0.8541558956,0.5154028616,0.0430305635 0 0 0 0 0 0 0.0430305635 0 0 0 0 0 0 0.09451818262 0 0 0 0 0 0 0.000755047703 0 0 0 0 0 0 0.000755047703 0 0 0 0 0 0 0.001310785923
6,1785495430.051863909,map,7.8528642654,-4.1367626190,-1.1617785692,0.0355725392,0.0592650025,0.8542037141,0.5153235074,0.04301685803 0 0 0 0 0 0 0.04301685803 0 0 0 0 0 0 0.09449786961 0 0 0 0 0 0 0.0007547308493 0 0 0 0 0 0 0.0007547308493 0 0 0 0 0 0 0.00131036843
7,1785495430.152066946,map,7.8521165848,-4.1357207298,-1.1596454382,0.0355850077,0.0591941694,0.8541466912,0.5154251810,0.04320111981 0 0 0 0 0 0 0.04320111981 0 0 0 0 0 0 0.09477087796 0 0 0 0 0 0 0.0007589920965 0 0 0 0 0 0 0.0007589920965 0 0 0 0 0 0 0.001315981365
8,1785495430.251229048,map,7.8530879021,-4.1369261742,-1.1598356962,0.0354983939,0.0592754551,0.8540779073,0.5155358165,0.04309930643 0 0 0 0 0 0 0.04309930643 0 0 0 0 0 0 0.09462005134 0 0 0 0 0 0 0.000756637198 0 0 0 0 0 0 0.000756637198 0 0 0 0 0 0 0.001312879952
9,1785495430.351475954,map,7.8535809517,-4.1377220154,-1.1588449478,0.0354417422,0.0592179374,0.8541610619,0.5154085717,0.04314864455 0 0 0 0 0 0 0.04314864455 0 0 0 0 0 0 0.09469314819 0 0 0 0 0 0 0.0007577782569 0 0 0 0 0 0 0.0007577782569 0 0 0 0 0 0 0.001314382877
10,1785495430.451785088,map,7.8510003090,-4.1358833313,-1.1612660885,0.0353357929,0.0590792518,0.8540938574,0.5155430425,0.04324206665 0 0 0 0 0 0 0.04324206665 0 0 0 0 0 0 0.09483152043 0 0 0 0 0 0 0.0007599394267 0 0 0 0 0 0 0.0007599394267 0 0 0 0 0 0 0.001317228677
11,1785495430.552309036,map,7.8527255058,-4.1326069832,-1.1601566076,0.0356636736,0.0592379153,0.8541330156,0.5154374461,0.04312597692 0 0 0 0 0 0 0.04312597692 0 0 0 0 0 0 0.09465956666 0 0 0 0 0 0 0.0007572539893 0 0 0 0 0 0 0.0007572539893 0 0 0 0 0 0 0.001313692381
12,1785495430.652524948,map,7.8519544601,-4.1329288483,-1.1606581211,0.0357392153,0.0593018409,0.8540848224,0.5155047219,0.04330371681 0 0 0 0 0 0 0.04330371681 0 0 0 0 0 0 0.09492280706 0 0 0 0 0 0 0.0007613660091 0 0 0 0 0 0 0.0007613660091 0 0 0 0 0 0 0.001319106648
13,1785495430.751563072,map,7.8518567085,-4.1367435455,-1.1605618000,0.0353361408,0.0591143702,0.8541250586,0.5154873635,0.04282554123 0 0 0 0 0 0 0.04282554123 0 0 0 0 0 0 0.09421420694 0 0 0 0 0 0 0.0007503095142 0 0 0 0 0 0 0.0007503095142 0 0 0 0 0 0 0.001304540587
14,1785495430.851839066,map,7.8505034447,-4.1368970871,-1.1606825590,0.0354228320,0.0592779653,0.8541268449,0.5154596627,0.0431157047 0 0 0 0 0 0 0.0431157047 0 0 0 0 0 0 0.09464434768 0 0 0 0 0 0 0.000757016423 0 0 0 0 0 0 0.000757016423 0 0 0 0 0 0 0.001313379472
