time_sec,cpu_ticks,rss_kb
1789400260.286445384,17,54916
1789400262.299277066,142,120148
1789400264.318933885,325,151240
1789400266.339100823,465,151240
1789400268.358662176,600,151240
1789400270.375321000,740,151240
1789400272.388343643,877,151240
1789400274.400577345,1014,151240
1789400276.418745808,1149,151240
1789400278.436141936,1282,151240
1789400280.455338846,1425,151504
1789400282.477281853,1569,151504
1789400284.488478107,1713,153088
1789400286.502807567,1859,153088
1789400288.516836399,2005,153088
1789400290.530089079,2154,153088
1789400292.546361339,2296,153088
1789400294.568734234,2440,153088
1789400296.590024084,2585,153088
1789400298.611969754,2728,153088
1789400300.629238451,2877,153088
1789400302.644083858,3019,153088
1789400304.656271459,3162,153088
1789400306.676274693,3308,153088
1789400308.695925355,3457,153088
1789400310.713766219,3603,153088
1789400312.730791945,3751,153088
1789400314.746083897,3895,153088
1789400316.765620754,4042,153088
1789400318.780268122,4188,153352
1789400320.792780359,4336,153616
1789400322.804193146,4483,153880
1789400324.819050147,4629,153880
1789400326.836359452,4777,153880
1789400328.851017877,4919,153880
1789400330.864797570,5062,153880
1789400332.876632801,5204,153880
1789400334.889562588,5345,153880
1789400336.901892856,5487,153880
1789400338.915910251,5627,153880
1789400340.935055181,5768,153880
1789400342.950412454,5909,153880
1789400344.964284943,6050,153880
1789400346.977107148,6189,153880
1789400348.989059121,6328,153880
1789400351.007444375,6467,153880
1789400353.026266969,6609,153880
1789400355.039587020,6750,153880
1789400357.055256810,6889,153880
1789400359.068322222,7028,153880
1789400361.079211166,7169,153880
1789400363.092708359,7310,153880
1789400365.104481119,7450,153880
1789400367.122786513,7589,153880
1789400369.137558839,7731,153880
1789400371.153449064,7877,153880
1789400373.173216360,8025,153880
1789400375.193962428,8178,153880
1789400377.210820530,8327,153880
1789400379.227739083,8466,153880
1789400381.248871199,8545,153880
1789400383.270531675,8545,153880
1789400385.291213554,8545,153880
1789400387.311348332,8545,153880
1789400389.330775279,8545,153880
1789400391.353133362,8545,153880
