message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,8.3300000000,-3.7800000000,-1.3900000000,0.0000000000,0.0000000000,0.8530502707,0.5218287416,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785497053.405873299,map,8.3788623810,-3.7509872913,-1.3936575651,0.0491208718,0.0581788083,0.8519027128,0.5181353035,0.04282327672 0 0 0 0 0 0 0.04282327672 0 0 0 0 0 0 0.09421084815 0 0 0 0 0 0 0.0007502572001 0 0 0 0 0 0 0.0007502572001 0 0 0 0 0 0 0.001304471606
2,1785497055.905592203,map,8.3681030273,-3.8257169724,-1.3889266253,0.0489338422,0.0585683168,0.8513479887,0.5190201088,0.0428328828 0 0 0 0 0 0 0.0428328828 0 0 0 0 0 0 0.09422509598 0 0 0 0 0 0 0.0007504791201 0 0 0 0 0 0 0.0007504791201 0 0 0 0 0 0 0.001304764224
3,1785497056.305691481,map,8.3589105606,-3.7860484123,-1.3896346092,0.0490381162,0.0582312479,0.8514455251,0.5188881113,0.04297186269 0 0 0 0 0 0 0.04297186269 0 0 0 0 0 0 0.09443117417 0 0 0 0 0 0 0.0007536907243 0 0 0 0 0 0 0.0007536907243 0 0 0 0 0 0 0.001308997794
4,1785497056.605889320,map,8.3725299835,-3.7830140591,-1.3906508684,0.0489097691,0.0584228372,0.8516564005,0.5185325244,0.04291307256 0 0 0 0 0 0 0.04291307256 0 0 0 0 0 0 0.09434401393 0 0 0 0 0 0 0.000752331976 0 0 0 0 0 0 0.000752331976 0 0 0 0 0 0 0.001307206944
5,1785497056.805559397,map,8.3803672791,-3.8382856846,-1.3888299465,0.0483289142,0.0585287497,0.8514395472,0.5189309919,0.04323230289 0 0 0 0 0 0 0.04323230289 0 0 0 0 0 0 0.0948170611 0 0 0 0 0 0 0.0007597135233 0 0 0 0 0 0 0.0007597135233 0 0 0 0 0 0 0.001316931256
6,1785497057.105914116,map,8.3825502396,-3.8328335285,-1.3906253576,0.0484707730,0.0582812677,0.8514571436,0.5189167849,0.042987164 0 0 0 0 0 0 0.042987164 0 0 0 0 0 0 0.09445385617 0 0 0 0 0 0 0.0007540444142 0 0 0 0 0 0 0.0007540444142 0 0 0 0 0 0 0.001309463898
7,1785497057.205642939,map,8.3855104446,-3.8245053291,-1.3905293941,0.0485585442,0.0583446999,0.8515557484,0.5187396135,0.04295344069 0 0 0 0 0 0 0.04295344069 0 0 0 0 0 0 0.09440386442 0 0 0 0 0 0 0.0007532649261 0 0 0 0 0 0 0.0007532649261 0 0 0 0 0 0 0.001308436627
8,1785497057.305518866,map,8.3840494156,-3.8226985931,-1.3908160925,0.0484827158,0.0582856960,0.8515630526,0.5187413585,0.04281806573 0 0 0 0 0 0 0.04281806573 0 0 0 0 0 0 0.09420311894 0 0 0 0 0 0 0.0007501368189 0 0 0 0 0 0 0.0007501368189 0 0 0 0 0 0 0.00130431287
9,1785497057.405603170,map,8.3905010223,-3.8151178360,-1.3925036192,0.0486873430,0.0584177835,0.8516316935,0.5185946002,0.04287507131 0 0 0 0 0 0 0.04287507131 0 0 0 0 0 0 0.09428766423 0 0 0 0 0 0 0.0007514538543 0 0 0 0 0 0 0.0007514538543 0 0 0 0 0 0 0.001306049359
10,1785497057.506054163,map,8.3984231949,-3.7971200943,-1.3952378035,0.0488949087,0.0582047370,0.8517702905,0.5183713988,0.04304272083 0 0 0 0 0 0 0.04304272083 0 0 0 0 0 0 0.09453620023 0 0 0 0 0 0 0.0007553287791 0 0 0 0 0 0 0.0007553287791 0 0 0 0 0 0 0.001311156256
11,1785497057.605827808,map,8.3986682892,-3.7965147495,-1.3939062357,0.0488380807,0.0583683386,0.8517973630,0.5183137956,0.04273075722 0 0 0 0 0 0 0.04273075722 0 0 0 0 0 0 0.09407359564 0 0 0 0 0 0 0.0007481202175 0 0 0 0 0 0 0.0007481202175 0 0 0 0 0 0 0.001301653301
12,1785497057.705650806,map,8.3985891342,-3.7896261215,-1.3944742680,0.0489115866,0.0582801776,0.8518144432,0.5182887256,0.04274133849 0 0 0 0 0 0 0.04274133849 0 0 0 0 0 0 0.09408929539 0 0 0 0 0 0 0.0007483645827 0 0 0 0 0 0 0.0007483645827 0 0 0 0 0 0 0.001301975625
13,1785497057.805523872,map,8.3936367035,-3.7978932858,-1.3944476843,0.0490110660,0.0584653767,0.8517231954,0.5184084943,0.04266560607 0 0 0 0 0 0 0.04266560607 0 0 0 0 0 0 0.09397691497 0 0 0 0 0 0 0.0007466158223 0 0 0 0 0 0 0.0007466158223 0 0 0 0 0 0 0.001299668684
14,1785497057.905591249,map,8.3953447342,-3.7979261875,-1.3937476873,0.0487899787,0.0585456670,0.8517651130,0.5183513695,0.04280012753 0 0 0 0 0 0 0.04280012753 0 0 0 0 0 0 0.09417651091 0 0 0 0 0 0 0.0007497224393 0 0 0 0 0 0 0.0007497224393 0 0 0 0 0 0 0.001303766442
15,1785497058.005958796,map,8.3955059052,-3.8001136780,-1.3935254812,0.0488406875,0.0583436011,0.8517297325,0.5184274866,0.04291780007 0 0 0 0 0 0 0.04291780007 0 0 0 0 0 0 0.09435102349 0 0 0 0 0 0 0.0007524412264 0 0 0 0 0 0 0.0007524412264 0 0 0 0 0 0 0.001307350952
16,1785497058.105751276,map,8.3954401016,-3.7992458344,-1.3933339119,0.0488617313,0.0582560557,0.8517268199,0.5184401765,0.04296245478 0 0 0 0 0 0 0.04296245478 0 0 0 0 0 0 0.09441722762 0 0 0 0 0 0 0.0007534732702 0 0 0 0 0 0 0.0007534732702 0 0 0 0 0 0 0.001308711212
17,1785497058.205631495,map,8.4000253677,-3.7315416336,-1.3959779739,0.0490919287,0.0584717515,0.8521798241,0.5176490447,0.0433254045 0 0 0 0 0 0 0.0433254045 0 0 0 0 0 0 0.09495491543 0 0 0 0 0 0 0.0007618679377 0 0 0 0 0 0 0.0007618679377 0 0 0 0 0 0 0.001319767293
18,1785497058.305483341,map,8.3923377991,-3.8211889267,-1.3925994635,0.0489710686,0.0586412350,0.8515923877,0.5186072501,0.0428016121 0 0 0 0 0 0 0.0428016121 0 0 0 0 0 0 0.09417871307 0 0 0 0 0 0 0.0007497567324 0 0 0 0 0 0 0.0007497567324 0 0 0 0 0 0 0.001303811664
19,1785497058.405687332,map,8.4188957214,-3.7311494350,-1.3975585699,0.0487283007,0.0580054652,0.8523479790,0.5174590712,0.04308563602 0 0 0 0 0 0 0.04308563602 0 0 0 0 0 0 0.09459979554 0 0 0 0 0 0 0.0007563210745 0 0 0 0 0 0 0.0007563210745 0 0 0 0 0 0 0.001312463527
20,1785497058.506133080,map,8.4076023102,-3.7866568565,-1.3952999115,0.0487027495,0.0585170684,0.8519593146,0.5180435463,0.04291753339 0 0 0 0 0 0 0.04291753339 0 0 0 0 0 0 0.09435062808 0 0 0 0 0 0 0.0007524350635 0 0 0 0 0 0 0.0007524350635 0 0 0 0 0 0 0.001307342829
