time_sec,cpu_ticks,rss_kb
1789402739.396135912,17,54916
1789402741.412246850,151,109996
1789402743.431572085,326,138580
1789402745.446542052,471,138580
1789402747.472120751,609,138580
1789402749.492552905,746,138580
1789402751.516053121,884,138580
1789402753.534541637,1022,138580
1789402755.548300302,1160,138580
1789402757.563851157,1298,138580
1789402759.578494111,1440,138580
1789402761.591222150,1593,138580
1789402763.606288892,1744,138580
1789402765.622485984,1887,138580
1789402767.635916759,2036,138580
1789402769.651652414,2183,138580
1789402771.673653424,2328,138580
1789402773.689165460,2475,138580
1789402775.709978651,2615,138580
1789402777.726216995,2757,138580
1789402779.737797356,2895,138580
1789402781.753131809,3026,138580
1789402783.776647312,3164,138580
1789402785.792402992,3299,138580
1789402787.811715680,3438,138580
1789402789.825854752,3573,138580
1789402791.842354222,3709,138580
1789402793.860812789,3845,138580
1789402795.883479291,3989,138580
1789402797.899779663,4132,138580
1789402799.920324257,4276,138580
1789402801.933097924,4418,138580
1789402803.947065715,4544,138580
1789402805.963199638,4678,138580
1789402807.983986284,4803,138580
1789402810.000483643,4933,138580
1789402812.020272000,5067,138580
1789402814.037963269,5201,138580
1789402816.055268414,5329,138580
1789402818.076203173,5465,138580
1789402820.098895785,5603,138580
1789402822.113213934,5745,138580
1789402824.125392531,5880,138580
1789402826.139573263,6016,138580
1789402828.152758671,6156,138580
1789402830.170715776,6293,138580
1789402832.194152207,6434,138580
1789402834.210135142,6569,138580
1789402836.224242166,6710,138580
1789402838.237759072,6851,138580
1789402840.254178697,6986,138580
1789402842.275324420,7115,138580
1789402844.297403186,7253,138580
1789402846.317165188,7392,138580
1789402848.332774410,7528,138580
1789402850.345941655,7661,138580
1789402852.363188774,7795,138580
1789402854.381539715,7933,138580
1789402856.399722478,8069,138580
1789402858.413854345,8191,138580
1789402860.433681982,8249,138580
1789402862.455501673,8249,138580
1789402864.476473363,8249,138580
1789402866.499170523,8249,138580
1789402868.522208771,8249,138580
1789402870.543078925,8249,138580
