run                        cores     p95   span_s   rss_MB
run                          rss_MB  rate_MB/m  tail_MB/m   still
system   mode       bag       rate Hz  cores      range   p95  ATEmed  ATEp95  RSS MB  memory (window -> tail)
hmr_loc  stride 4   bunker       9.77   0.80 0.80-0.80 0.89     2.3     8.3     161    +8.5 ->   +0.4 MB/min  plateaued
hmr_loc  stride 4   curtmini     9.02   0.77 0.77-0.77 0.92     2.6     6.9     144    +5.9 ->   -5.2 MB/min  plateaued
hmr_loc  stride 8   bunker       9.79   0.70 0.70-0.71 0.74     4.4    12.5     151    +6.5 ->   -0.0 MB/min  plateaued
hmr_loc  stride 8   curtmini     9.29   0.68 0.68-0.68 0.74     4.9    10.6     136    +5.2 ->   +0.0 MB/min  plateaued
glim     odom cpu   bunker      10.01   0.75 0.74-0.75 0.77     2.6    10.1     194   +15.0 ->  -16.2 MB/min  plateaued
glim     odom cpu   curtmini     9.97   0.68 0.67-0.69 0.73     5.2    14.7     190   +22.8 ->   +2.9 MB/min  plateaued
glim     odom gpu   bunker      10.01   0.74 0.74-0.75 0.76     3.0     9.7     213   +12.5 ->  -12.1 MB/min  plateaued
glim     odom gpu   curtmini     9.97   0.70 0.69-0.70 0.78     5.9    20.0     226   +25.0 ->   +3.8 MB/min  plateaued
glim     full+loop  bunker      10.01   0.87 0.85-0.88 0.94     3.1    10.6    1539  +712.8 -> +495.1 MB/min  STILL GROWING
glim     full+loop  curtmini     9.97   0.86 0.85-0.86 0.99     8.4    24.6    1062  +452.4 -> +350.0 MB/min  STILL GROWING
