time_sec,cpu_ticks,rss_kb
1789226056.349203648,197,158688
1789226058.369509474,222,158688
1789226060.386555950,338,210452
1789226062.403762583,490,240172
1789226064.421662646,635,259444
1789226066.436443037,782,278716
1789226068.451762620,931,280036
1789226070.473628129,1081,280564
1789226072.488738688,1229,280564
1789226074.502056695,1378,280564
1789226076.521479225,1522,280564
1789226078.540506688,1667,281620
1789226080.565787793,1816,289012
1789226082.585619563,1962,289012
1789226084.602063889,2113,289012
1789226086.617794015,2257,289012
1789226088.635010457,2406,289012
1789226090.651266686,2555,289012
1789226092.667336645,2704,289012
1789226094.682091836,2854,289012
1789226096.698706329,3001,289276
1789226098.713265904,3150,289276
1789226100.727235567,3300,289276
1789226102.748161358,3447,289276
1789226104.772893529,3590,289276
1789226106.793339900,3735,289276
1789226108.808168842,3884,289364
1789226110.820600216,4028,289364
1789226112.839172146,4174,289364
1789226114.865167174,4325,289364
1789226116.881224959,4478,289364
1789226118.893923044,4628,289364
1789226120.910084346,4779,276192
1789226122.922595584,4931,276192
1789226124.943070457,5082,289388
1789226126.960961300,5217,289388
1789226128.975924822,5352,289388
1789226130.990651706,5492,289388
1789226133.005063872,5616,289388
1789226135.017757086,5740,289388
1789226137.031020594,5889,289388
1789226139.047096607,6039,289388
1789226141.062737329,6190,289388
1789226143.076621210,6339,289388
1789226145.090102823,6470,289388
1789226147.105929876,6621,289388
1789226149.119101731,6772,289388
1789226151.135491398,6921,289388
1789226153.152837979,7072,289388
1789226155.167237622,7222,289388
1789226157.181423412,7352,289388
1789226159.194803259,7494,289388
1789226161.206684150,7639,289388
1789226163.222481755,7788,289388
1789226165.239965991,7937,289388
1789226167.256854747,8079,289388
1789226169.270332828,8229,289388
1789226171.282875433,8366,289388
1789226173.298369069,8496,289388
1789226175.314515783,8639,289388
1789226177.335124356,8734,289388
1789226179.356652019,8764,289432
1789226181.379491152,8794,283976
1789226183.401671092,8825,283976
1789226185.418393121,8855,283976
1789226187.441828531,8885,283976
1789226189.462720326,8916,283976
1789226191.485488734,8945,283976
1789226193.504213037,8976,283976
1789226195.529090951,9006,283976
