time_sec,cpu_ticks,rss_kb
1789226218.046849533,198,158696
1789226220.063073697,321,191208
1789226222.082153054,449,223772
1789226224.104379055,586,250828
1789226226.125890825,728,260044
1789226228.140973913,869,260572
1789226230.155989353,1002,264532
1789226232.175611962,1131,271472
1789226234.194321206,1273,276496
1789226236.211780963,1417,271312
1789226238.225501121,1556,271780
1789226240.240159601,1692,277944
1789226242.256862694,1799,282344
1789226244.274485868,1938,289252
1789226246.291091712,2086,293396
1789226248.308230764,2225,285480
1789226250.326232427,2343,285640
1789226252.341934248,2485,285964
1789226254.356397557,2626,286476
1789226256.368946268,2749,286476
1789226258.389102490,2895,294448
1789226260.404104478,3039,286796
1789226262.421627486,3179,286796
1789226264.437306807,3317,286672
1789226266.456316706,3456,286764
1789226268.471532095,3602,292552
1789226270.484907509,3755,287792
1789226272.497685713,3912,287792
1789226274.510174385,4045,287792
1789226276.521624382,4199,287652
1789226278.533541700,4355,291716
1789226280.545953443,4507,292772
1789226282.563747224,4628,293564
1789226284.590029561,4764,301100
1789226286.604544952,4896,307832
1789226288.616628280,5031,308096
1789226290.629127218,5168,308096
1789226292.645048316,5321,308096
1789226294.659482778,5456,309152
1789226296.677201450,5597,311000
1789226298.691433097,5741,311000
1789226300.709107160,5882,311000
1789226302.725244603,6019,311000
1789226304.744944174,6157,311000
1789226306.766376200,6294,311000
1789226308.791639853,6434,311000
1789226310.811293662,6572,311000
1789226312.827212417,6709,311000
1789226314.838535905,6860,311000
1789226316.851509130,7016,311528
1789226318.863975897,7172,313112
1789226320.877404283,7290,313112
1789226322.897487841,7418,313112
1789226324.917507720,7556,313112
1789226326.933019403,7694,313112
1789226328.945920113,7846,313112
1789226330.958280349,8002,313112
1789226332.975276874,8139,313112
1789226334.990792010,8280,313112
1789226337.003853866,8435,313112
1789226339.018211225,8554,313280
1789226341.037848543,8584,308080
1789226343.057047338,8613,308080
1789226345.080456763,8643,308080
1789226347.101140049,8673,308080
1789226349.120626678,8702,308080
1789226351.141018734,8731,308080
1789226353.159441057,8760,308080
1789226355.180435311,8790,308080
1789226357.201110754,8818,308080
