time_sec,cpu_ticks,rss_kb
1789218729.950233310,167,158864
1789218731.964186454,261,219828
1789218733.978606288,420,229684
1789218735.996915509,571,246476
1789218738.012152434,723,248668
1789218740.026522246,877,259372
1789218742.040230156,1028,260428
1789218744.051674590,1182,261692
1789218746.072891584,1334,262748
1789218748.097944911,1486,272400
1789218750.117546619,1640,280056
1789218752.134492984,1791,279264
1789218754.151737914,1945,266424
1789218756.165441242,2099,268272
1789218758.179052997,2249,283316
1789218760.197137298,2401,273812
1789218762.214884684,2555,277468
1789218764.231458912,2706,270704
1789218766.246107451,2858,270704
1789218768.260177639,3011,270636
1789218770.281099088,3164,273740
1789218772.299297963,3318,285072
1789218774.312819415,3471,285336
1789218776.331882869,3622,285276
1789218778.346768635,3776,272172
1789218780.361075443,3926,274344
1789218782.377563472,4079,279356
1789218784.392253649,4231,289124
1789218786.405790412,4386,289056
1789218788.422106244,4538,289020
1789218790.434082566,4692,274768
1789218792.449214911,4842,275492
1789218794.464014981,4995,276376
1789218796.483984226,5147,281388
1789218798.505194516,5301,285244
1789218800.523067200,5454,291936
1789218802.538482299,5606,276892
1789218804.552951148,5761,278304
1789218806.564747117,5912,279280
1789218808.584642265,6064,284556
1789218810.603891350,6218,294324
1789218812.619154808,6370,293440
1789218814.633300978,6522,279188
1789218816.652150443,6673,279084
1789218818.676717683,6827,284716
1789218820.701440864,6980,288940
1789218822.718196080,7134,279176
1789218824.732855943,7287,279168
1789218826.745126090,7438,279168
1789218828.759636081,7590,279072
1789218830.783377553,7744,293220
1789218832.799596685,7896,293220
1789218834.815611794,8050,294012
1789218836.828592238,8203,279060
1789218838.840157606,8355,279060
1789218840.851112431,8487,278968
1789218842.864693654,8637,285900
1789218844.890937632,8789,288012
1789218846.906834385,8942,293348
1789218848.923370048,9094,294232
1789218850.942206193,9189,279188
1789218852.964217817,9220,268332
1789218854.987078586,9250,268332
1789218857.006190683,9280,268332
1789218859.028289738,9310,268332
1789218861.049818786,9340,268332
1789218863.069231202,9369,268332
1789218865.090272447,9400,268332
1789218867.110647740,9429,268332
1789218869.132887418,9460,268332
