time_sec,cpu_ticks,rss_kb
1789218891.717978299,211,158852
1789218893.734590084,296,195464
1789218895.750667983,451,201008
1789218897.768902611,588,210812
1789218899.793578562,729,224676
1789218901.814427924,871,227368
1789218903.831672586,1016,229480
1789218905.844970596,1161,239092
1789218907.868218288,1298,241992
1789218909.894851445,1443,241992
1789218911.914386928,1588,243312
1789218913.932711602,1730,247536
1789218915.947019458,1878,252792
1789218917.962950771,2017,254112
1789218919.987888943,2166,254112
1789218922.012061857,2309,254280
1789218924.027129634,2455,254280
1789218926.041901467,2598,254280
1789218928.053584514,2742,254280
1789218930.073041343,2886,254280
1789218932.094319263,3028,254280
1789218934.117555619,3167,254280
1789218936.135329372,3311,254280
1789218938.150077366,3451,254280
1789218940.164879060,3594,254280
1789218942.188338512,3733,254280
1789218944.209748019,3875,254280
1789218946.229245170,4018,254280
1789218948.243315850,4160,254280
1789218950.258621429,4304,254280
1789218952.284621846,4449,256124
1789218954.307744330,4596,256124
1789218956.324290214,4725,258776
1789218958.336029005,4858,258776
1789218960.349344297,4983,258776
1789218962.372944470,5103,258776
1789218964.396063558,5242,258776
1789218966.416094282,5383,258780
1789218968.432703962,5521,259040
1789218970.449126520,5663,260360
1789218972.467820972,5802,260360
1789218974.488250336,5949,260360
1789218976.509769302,6090,260360
1789218978.529206762,6233,260360
1789218980.543380755,6378,260360
1789218982.556683604,6521,260360
1789218984.576772207,6657,260360
1789218986.601107875,6798,260360
1789218988.621747068,6942,260360
1789218990.638386569,7087,260360
1789218992.651851421,7228,260888
1789218994.671731789,7373,260888
1789218996.694059405,7512,260888
1789218998.715578551,7657,260888
1789219000.731690727,7799,260888
1789219002.746577987,7939,260888
1789219004.760674193,8079,260888
1789219006.783706097,8224,260888
1789219008.803587399,8363,260888
1789219010.824568825,8491,263528
1789219012.844464072,8576,264056
1789219014.868292683,8606,261444
1789219016.892328492,8637,261444
1789219018.911839019,8667,261444
1789219020.935082815,8699,261444
1789219022.952131421,8729,261444
1789219024.974475654,8759,261444
1789219026.997362902,8789,261444
1789219029.016663157,8820,261444
1789219031.041548294,8850,261444
