time_sec,cpu_ticks,rss_kb
1789224300.492024911,207,160008
1789224302.504076328,300,220452
1789224304.518897712,463,223620
1789224306.533893764,613,234628
1789224308.551664872,765,250612
1789224310.566188608,916,285640
1789224312.579688788,1070,320784
1789224314.594178891,1232,340844
1789224316.607212195,1386,348028
1789224318.621138336,1547,346704
1789224320.634487091,1708,359904
1789224322.650641844,1865,368852
1789224324.670017984,2026,383760
1789224326.683942363,2199,410684
1789224328.698657756,2361,431632
1789224330.712838483,2528,432224
1789224332.725713290,2708,461260
1789224334.737910041,2878,460000
1789224336.751526887,3056,499332
1789224338.766421174,3244,497488
1789224340.779318156,3419,514592
1789224342.795485388,3597,555036
1789224344.809562261,3774,572988
1789224346.823193812,3958,582232
1789224348.836192202,4141,611592
1789224350.850436418,4322,629056
1789224352.863856117,4508,662052
1789224354.877245848,4688,703888
1789224356.889718071,4870,730024
1789224358.901986408,5050,763264
1789224360.914628807,5235,798376
1789224362.927675921,5415,807092
1789224364.943663305,5595,835456
1789224366.956521431,5785,870936
1789224368.970506408,5974,889944
1789224370.984674089,6159,934556
1789224372.998882202,6349,943344
1789224375.014334445,6544,969168
1789224377.030100366,6721,978720
1789224379.044656463,6900,1005176
1789224381.057409078,7073,1029200
1789224383.069742676,7241,1052084
1789224385.086628268,7419,1089572
1789224387.099628453,7590,1118668
1789224389.112355667,7761,1128496
1789224391.124549336,7941,1154104
1789224393.136640529,8121,1188160
1789224395.149576369,8293,1215172
1789224397.162518434,8475,1243420
1789224399.177881897,8650,1281168
1789224401.197083315,8824,1323784
1789224403.208061362,9011,1343852
1789224405.222096350,9188,1380080
1789224407.235391685,9362,1417304
1789224409.249077882,9552,1445608
1789224411.262560931,9738,1493656
1789224413.277409678,9912,1540644
1789224415.290607199,10098,1576492
1789224417.302913485,10279,1615452
1789224419.316197826,10459,1642020
1789224421.337254059,10650,1655748
1789224423.356782265,10680,1644892
1789224425.378802395,10711,1644892
1789224427.403359889,10741,1644892
1789224429.428446611,10771,1644892
1789224431.452288919,10801,1644892
1789224433.470701039,10830,1644892
1789224435.493527172,10860,1644892
1789224437.514435780,10890,1644892
1789224439.535083737,10921,1644892
