time_sec,cpu_ticks,rss_kb
1789224462.244305694,209,160004
1789224464.260208080,296,200944
1789224466.274514058,457,204904
1789224468.296213084,593,215236
1789224470.317554470,737,229076
1789224472.334943157,884,257756
1789224474.352157593,1029,282672
1789224476.368721753,1186,309944
1789224478.389600024,1338,319708
1789224480.407964489,1495,333436
1789224482.420504918,1651,348484
1789224484.435623832,1805,360628
1789224486.450283987,1965,382188
1789224488.466593613,2133,401460
1789224490.478504947,2323,413076
1789224492.493155882,2501,436148
1789224494.504550622,2677,447236
1789224496.517150999,2863,457500
1789224498.529997026,3038,472952
1789224500.542405639,3220,494596
1789224502.554732960,3411,505420
1789224504.572066545,3576,523372
1789224506.583831035,3751,533668
1789224508.606200182,3919,540004
1789224510.621460222,4090,555908
1789224512.633434083,4264,568316
1789224514.647550018,4430,575180
1789224516.661000062,4599,593660
1789224518.674098291,4777,606860
1789224520.692396477,4945,615836
1789224522.706675405,5115,640912
1789224524.721233551,5298,658864
1789224526.732611981,5475,670216
1789224528.746939516,5644,688960
1789224530.759424247,5843,701896
1789224532.779288171,6012,713776
1789224534.793718903,6202,736744
1789224536.806741738,6382,747304
1789224538.820823366,6582,757600
1789224540.832470868,6781,782416
1789224542.844480564,6967,792712
1789224544.856309579,7154,800368
1789224546.868142904,7328,818192
1789224548.883501966,7513,826496
1789224550.899945292,7688,836528
1789224552.919471033,7868,861080
1789224554.933417569,8047,873224
1789224556.950076541,8227,888532
1789224558.968472120,8409,916780
1789224560.982524832,8583,933940
1789224563.003621573,8770,953212
1789224565.018931465,8956,982780
1789224567.031697825,9133,989644
1789224569.045988989,9302,1006540
1789224571.057977420,9480,1027660
1789224573.071045154,9666,1047460
1789224575.085540221,9850,1063828
1789224577.098544161,10032,1103428
1789224579.112886889,10219,1124812
1789224581.125214978,10408,1151476
1789224583.140801063,10542,1176820
1789224585.160835370,10573,1171660
1789224587.176515355,10604,1171660
1789224589.196556298,10634,1171660
1789224591.218038366,10665,1171660
1789224593.239598151,10695,1171660
1789224595.259033569,10725,1171660
1789224597.280647990,10756,1171660
1789224599.297918712,10786,1171660
1789224601.320942472,10810,1171660
