message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,6.9332000000,-4.5721000000,-1.1700000000,0.0000000000,0.0000000000,0.8550024007,0.5186240400,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495426.753357887,map,7.8438129425,-4.1009721756,-1.1590958834,0.0358767070,0.0596120163,0.8546468379,0.5145270478,0.04298885104 0 0 0 0 0 0 0.04298885104 0 0 0 0 0 0 0.09445635689 0 0 0 0 0 0 0.0007540834114 0 0 0 0 0 0 0.0007540834114 0 0 0 0 0 0 0.001309515288
2,1785495429.351785898,map,7.8556728363,-4.1198310852,-1.1610069275,0.0366682538,0.0600601056,0.8546475315,0.5144179550,0.04294794617 0 0 0 0 0 0 0.04294794617 0 0 0 0 0 0 0.0943957187 0 0 0 0 0 0 0.0007531379338 0 0 0 0 0 0 0.0007531379338 0 0 0 0 0 0 0.001308269255
3,1785495429.852205038,map,7.8560638428,-4.1307382584,-1.1615694761,0.0355334765,0.0593789726,0.8542103515,0.5153019717,0.04303318193 0 0 0 0 0 0 0.04303318193 0 0 0 0 0 0 0.09452206329 0 0 0 0 0 0 0.0007551082397 0 0 0 0 0 0 0.0007551082397 0 0 0 0 0 0 0.001310865684
4,1785495430.051863909,map,7.8381013870,-4.1217556000,-1.1598408222,0.0358716381,0.0593942207,0.8541573274,0.5153647691,0.0430077032 0 0 0 0 0 0 0.0430077032 0 0 0 0 0 0 0.09448430055 0 0 0 0 0 0 0.0007545192095 0 0 0 0 0 0 0.0007545192095 0 0 0 0 0 0 0.001310089558
5,1785495430.251229048,map,7.8503680229,-4.1227407455,-1.1596709490,0.0356608578,0.0593596333,0.8539843239,0.5156699941,0.04309856587 0 0 0 0 0 0 0.04309856587 0 0 0 0 0 0 0.09461895405 0 0 0 0 0 0 0.0007566200723 0 0 0 0 0 0 0.0007566200723 0 0 0 0 0 0 0.001312857393
6,1785495430.451785088,map,7.8483319283,-4.1242394447,-1.1614638567,0.0355291309,0.0591482972,0.8539558642,0.5157504868,0.04323285028 0 0 0 0 0 0 0.04323285028 0 0 0 0 0 0 0.09481787176 0 0 0 0 0 0 0.000759726188 0 0 0 0 0 0 0.000759726188 0 0 0 0 0 0 0.00131694793
7,1785495430.552309036,map,7.8475985527,-4.1251540184,-1.1598659754,0.0357787977,0.0592503168,0.8540302967,0.5155982314,0.04312228035 0 0 0 0 0 0 0.04312228035 0 0 0 0 0 0 0.09465409001 0 0 0 0 0 0 0.0007571684976 0 0 0 0 0 0 0.0007571684976 0 0 0 0 0 0 0.001313579778
8,1785495430.652524948,map,7.8472867012,-4.1290946007,-1.1602408886,0.0357562101,0.0593347618,0.8540251160,0.5155986721,0.04330307589 0 0 0 0 0 0 0.04330307589 0 0 0 0 0 0 0.09492185813 0 0 0 0 0 0 0.0007613511764 0 0 0 0 0 0 0.0007613511764 0 0 0 0 0 0 0.001319087125
9,1785495430.751563072,map,7.8506903648,-4.1311497688,-1.1603927612,0.0353240515,0.0590880008,0.8540901296,0.5155491484,0.04282784904 0 0 0 0 0 0 0.04282784904 0 0 0 0 0 0 0.09421762992 0 0 0 0 0 0 0.0007503628289 0 0 0 0 0 0 0.0007503628289 0 0 0 0 0 0 0.001304610887
