message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.3579000000,-3.2232000000,-1.1700000000,0.0000000000,0.0000000000,0.8550024007,0.5186240400,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495426.753357887,map,7.8450193405,-4.0972900391,-1.1592046022,0.0359194878,0.0596117066,0.8546469810,0.5145237535,0.04298860011 0 0 0 0 0 0 0.04298860011 0 0 0 0 0 0 0.09445598494 0 0 0 0 0 0 0.0007540776111 0 0 0 0 0 0 0.0007540776111 0 0 0 0 0 0 0.001309507645
2,1785495429.351785898,map,7.8568544388,-4.1239023209,-1.1612814665,0.0366674649,0.0601116010,0.8546295742,0.5144418233,0.04294978576 0 0 0 0 0 0 0.04294978576 0 0 0 0 0 0 0.09439844594 0 0 0 0 0 0 0.000753180451 0 0 0 0 0 0 0.000753180451 0 0 0 0 0 0 0.001308325292
3,1785495429.751981974,map,7.8160057068,-4.1010613441,-1.1585764885,0.0371180411,0.0592586105,0.8543109958,0.5150371727,0.04301131371 0 0 0 0 0 0 0.04301131371 0 0 0 0 0 0 0.09448965201 0 0 0 0 0 0 0.0007546026757 0 0 0 0 0 0 0.0007546026757 0 0 0 0 0 0 0.00131019954
4,1785495429.951565027,map,7.8207654953,-4.1043457985,-1.1571264267,0.0368378762,0.0595823126,0.8545665036,0.5145959049,0.04295696298 0 0 0 0 0 0 0.04295696298 0 0 0 0 0 0 0.0944090862 0 0 0 0 0 0 0.0007533463365 0 0 0 0 0 0 0.0007533463365 0 0 0 0 0 0 0.001308543922
5,1785495430.152066946,map,7.8384733200,-4.1304898262,-1.1583356857,0.0358343789,0.0592181644,0.8540216547,0.5156123998,0.04318966826 0 0 0 0 0 0 0.04318966826 0 0 0 0 0 0 0.09475391649 0 0 0 0 0 0 0.0007587271832 0 0 0 0 0 0 0.0007587271832 0 0 0 0 0 0 0.001315632531
6,1785495430.351475954,map,7.8401246071,-4.1342453957,-1.1573743820,0.0355368743,0.0591617892,0.8540993092,0.5155108427,0.04314590192 0 0 0 0 0 0 0.04314590192 0 0 0 0 0 0 0.09468908519 0 0 0 0 0 0 0.0007577148216 0 0 0 0 0 0 0.0007577148216 0 0 0 0 0 0 0.001314299332
7,1785495430.451785088,map,7.8411955833,-4.1342272758,-1.1602711678,0.0353783356,0.0590364496,0.8540474549,0.5156219656,0.04323818892 0 0 0 0 0 0 0.04323818892 0 0 0 0 0 0 0.0948257779 0 0 0 0 0 0 0.000759849707 0 0 0 0 0 0 0.000759849707 0 0 0 0 0 0 0.001317110555
8,1785495430.552309036,map,7.8449730873,-4.1362700462,-1.1593877077,0.0357229201,0.0592149667,0.8541193215,0.5154586726,0.04312386507 0 0 0 0 0 0 0.04312386507 0 0 0 0 0 0 0.09465643787 0 0 0 0 0 0 0.0007572051478 0 0 0 0 0 0 0.0007572051478 0 0 0 0 0 0 0.001313628051
9,1785495430.652524948,map,7.8459200859,-4.1391997337,-1.1596009731,0.0357018071,0.0593164466,0.8540525042,0.5155591417,0.04330294559 0 0 0 0 0 0 0.04330294559 0 0 0 0 0 0 0.09492166521 0 0 0 0 0 0 0.0007613481609 0 0 0 0 0 0 0.0007613481609 0 0 0 0 0 0 0.001319083155
10,1785495430.751563072,map,7.8508362770,-4.1385221481,-1.1601665020,0.0352665638,0.0590880370,0.8540994982,0.5155374568,0.04282472736 0 0 0 0 0 0 0.04282472736 0 0 0 0 0 0 0.09421299978 0 0 0 0 0 0 0.0007502907122 0 0 0 0 0 0 0.0007502907122 0 0 0 0 0 0 0.001304515795
11,1785495430.851839066,map,7.8495903015,-4.1394443512,-1.1604920626,0.0354132677,0.0592833355,0.8540807454,0.5155361272,0.04311712221 0 0 0 0 0 0 0.04311712221 0 0 0 0 0 0 0.09464644785 0 0 0 0 0 0 0.0007570492054 0 0 0 0 0 0 0.0007570492054 0 0 0 0 0 0 0.001313422652
12,1785495430.952213049,map,7.8712086678,-4.2750191689,-1.1621100903,0.0356011412,0.0588532626,0.8521165871,0.5188122916,0.0431074074 0 0 0 0 0 0 0.0431074074 0 0 0 0 0 0 0.09463205426 0 0 0 0 0 0 0.0007568245376 0 0 0 0 0 0 0.0007568245376 0 0 0 0 0 0 0.001313126722
