message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.8200000000,-4.1100000000,-1.1700000000,0.0000000000,0.0000000000,0.9320711125,0.3622753667,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785495426.753357887,map,7.8467397690,-4.0918173790,-1.1603970528,0.0362065709,0.0596889155,0.8547333914,0.5143512179,0.04298799048 0 0 0 0 0 0 0.04298799048 0 0 0 0 0 0 0.09445508127 0 0 0 0 0 0 0.0007540635188 0 0 0 0 0 0 0.0007540635188 0 0 0 0 0 0 0.001309489074
2,1785495429.452049017,map,7.8409457207,-4.1411190033,-1.1595441103,0.0359872993,0.0597419316,0.8537713982,0.5159556095,0.04368105152 0 0 0 0 0 0 0.04368105152 0 0 0 0 0 0 0.09548107617 0 0 0 0 0 0 0.0007701044929 0 0 0 0 0 0 0.0007701044929 0 0 0 0 0 0 0.001330600921
3,1785495429.951565027,map,7.8216190338,-4.1071991920,-1.1571328640,0.0367238271,0.0596633563,0.8545688572,0.5145908085,0.04295922358 0 0 0 0 0 0 0.04295922358 0 0 0 0 0 0 0.09441243748 0 0 0 0 0 0 0.0007533985861 0 0 0 0 0 0 0.0007533985861 0 0 0 0 0 0 0.001308612784
4,1785495430.152066946,map,7.8384728432,-4.1304898262,-1.1583356857,0.0358343758,0.0592181651,0.8540216377,0.5156123926,0.0431896684 0 0 0 0 0 0 0.0431896684 0 0 0 0 0 0 0.09475391669 0 0 0 0 0 0 0.0007587271865 0 0 0 0 0 0 0.0007587271865 0 0 0 0 0 0 0.001315632535
5,1785495430.351475954,map,7.8313117027,-4.1307806969,-1.1563578844,0.0355012927,0.0590823238,0.8543206573,0.5151553616,0.04314752431 0 0 0 0 0 0 0.04314752431 0 0 0 0 0 0 0.09469148865 0 0 0 0 0 0 0.0007577523465 0 0 0 0 0 0 0.0007577523465 0 0 0 0 0 0 0.001314348753
6,1785495430.652524948,map,7.8357515335,-4.1330666542,-1.1587888002,0.0357006956,0.0591889361,0.8542241632,0.5152894359,0.04329551564 0 0 0 0 0 0 0.04329551564 0 0 0 0 0 0 0.09491066464 0 0 0 0 0 0 0.0007611762158 0 0 0 0 0 0 0.0007611762158 0 0 0 0 0 0 0.001318856826
7,1785495430.751563072,map,7.8448448181,-4.1363840103,-1.1594020128,0.0352425490,0.0590103495,0.8542093714,0.5153659907,0.04282993078 0 0 0 0 0 0 0.04282993078 0 0 0 0 0 0 0.09422071758 0 0 0 0 0 0 0.0007504109216 0 0 0 0 0 0 0.0007504109216 0 0 0 0 0 0 0.0013046743
8,1785495430.851839066,map,7.8455786705,-4.1378588676,-1.1598739624,0.0353673910,0.0592049709,0.8542023085,0.5153467193,0.04311492461 0 0 0 0 0 0 0.04311492461 0 0 0 0 0 0 0.0946431919 0 0 0 0 0 0 0.0007569983822 0 0 0 0 0 0 0.0007569983822 0 0 0 0 0 0 0.001313355709
9,1785495430.952213049,map,7.8708891869,-4.2751526833,-1.1620627642,0.0356078203,0.0588574285,0.8521172971,0.5188101805,0.04310706114 0 0 0 0 0 0 0.04310706114 0 0 0 0 0 0 0.09463154122 0 0 0 0 0 0 0.00075681653 0 0 0 0 0 0 0.00075681653 0 0 0 0 0 0 0.001313116174
10,1785495431.052498102,map,7.8528127670,-4.1641216278,-1.1589694023,0.0356848132,0.0592965899,0.8535025579,0.5164725245,0.04308820423 0 0 0 0 0 0 0.04308820423 0 0 0 0 0 0 0.094603601 0 0 0 0 0 0 0.0007563804622 0 0 0 0 0 0 0.0007563804622 0 0 0 0 0 0 0.00131254176
11,1785495431.152724028,map,7.8536992073,-4.1674332619,-1.1586350203,0.0355314388,0.0595413162,0.8536792664,0.5161627869,0.04293503657 0 0 0 0 0 0 0.04293503657 0 0 0 0 0 0 0.09437657929 0 0 0 0 0 0 0.0007528395701 0 0 0 0 0 0 0.0007528395701 0 0 0 0 0 0 0.001307876006
12,1785495431.251972914,map,7.8572058678,-4.1709108353,-1.1594454050,0.0355177473,0.0596034091,0.8537482180,0.5160425403,0.04297773663 0 0 0 0 0 0 0.04297773663 0 0 0 0 0 0 0.09443988159 0 0 0 0 0 0 0.000753826498 0 0 0 0 0 0 0.000753826498 0 0 0 0 0 0 0.001309176724
13,1785495431.352257013,map,7.8604531288,-4.1607317924,-1.1613157988,0.0359781035,0.0597311969,0.8538695001,0.5157951306,0.04293703223 0 0 0 0 0 0 0.04293703223 0 0 0 0 0 0 0.09437953806 0 0 0 0 0 0 0.0007528856923 0 0 0 0 0 0 0.0007528856923 0 0 0 0 0 0 0.001307936797
14,1785495431.451512098,map,7.8645362854,-4.1560945511,-1.1613434553,0.0353595816,0.0591201099,0.8540154707,0.5156666638,0.04320783859 0 0 0 0 0 0 0.04320783859 0 0 0 0 0 0 0.09478082914 0 0 0 0 0 0 0.0007591475298 0 0 0 0 0 0 0.0007591475298 0 0 0 0 0 0 0.001316186031
15,1785495431.551650047,map,7.8520679474,-4.1451892853,-1.1582161188,0.0351783756,0.0589159515,0.8544395079,0.5149995232,0.04319306964 0 0 0 0 0 0 0.04319306964 0 0 0 0 0 0 0.09475895452 0 0 0 0 0 0 0.0007588058675 0 0 0 0 0 0 0.0007588058675 0 0 0 0 0 0 0.001315736143
16,1785495431.651865959,map,7.8563981056,-4.1515517235,-1.1579780579,0.0351572252,0.0591859431,0.8544865490,0.5148919125,0.04306758054 0 0 0 0 0 0 0.04306758054 0 0 0 0 0 0 0.09457304069 0 0 0 0 0 0 0.0007559035723 0 0 0 0 0 0 0.0007559035723 0 0 0 0 0 0 0.001311913526
17,1785495431.752110004,map,7.8461065292,-4.1369223595,-1.1593010426,0.0358818987,0.0593610022,0.8542991209,0.5151328353,0.04345934313 0 0 0 0 0 0 0.04345934313 0 0 0 0 0 0 0.09515315232 0 0 0 0 0 0 0.0007649686229 0 0 0 0 0 0 0.0007649686229 0 0 0 0 0 0 0.001323847297
18,1785495431.851408005,map,7.8500742912,-4.1355500221,-1.1599276066,0.0358500326,0.0592833539,0.8542584973,0.5152113368,0.04337273526 0 0 0 0 0 0 0.04337273526 0 0 0 0 0 0 0.09502497902 0 0 0 0 0 0 0.0007629634741 0 0 0 0 0 0 0.0007629634741 0 0 0 0 0 0 0.00132120907
19,1785495431.951628923,map,7.8311510086,-4.1471204758,-1.1589748859,0.0355670195,0.0593390669,0.8547207452,0.5144573125,0.04282536835 0 0 0 0 0 0 0.04282536835 0 0 0 0 0 0 0.09421395051 0 0 0 0 0 0 0.0007503055202 0 0 0 0 0 0 0.0007503055202 0 0 0 0 0 0 0.001304535321
20,1785495432.052097082,map,7.8347873688,-4.1511964798,-1.1595828533,0.0358989446,0.0596614927,0.8546595861,0.5144985205,0.04351982475 0 0 0 0 0 0 0.04351982475 0 0 0 0 0 0 0.09524263614 0 0 0 0 0 0 0.0007663692699 0 0 0 0 0 0 0.0007663692699 0 0 0 0 0 0 0.001325689672
