message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.4397000000,-4.2354000000,-1.3900000000,0.0000000000,0.0000000000,0.8530502707,0.5218287416,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785497053.405873299,map,8.3641071320,-3.7573890686,-1.3918703794,0.0491382354,0.0582324129,0.8517495219,0.5183794548,0.04281915722 0 0 0 0 0 0 0.04281915722 0 0 0 0 0 0 0.09420473791 0 0 0 0 0 0 0.0007501620337 0 0 0 0 0 0 0.0007501620337 0 0 0 0 0 0 0.001304346119
2,1785497056.106098890,map,8.3878450394,-3.7941837311,-1.3920041323,0.0485913715,0.0583117834,0.8517000022,0.5185033194,0.04313080328 0 0 0 0 0 0 0.04313080328 0 0 0 0 0 0 0.09466671704 0 0 0 0 0 0 0.0007573656121 0 0 0 0 0 0 0.0007573656121 0 0 0 0 0 0 0.001313839401
3,1785497056.705776453,map,8.3728141785,-3.8088207245,-1.3890782595,0.0484891599,0.0582177421,0.8514917750,0.5188653522,0.0430995213 0 0 0 0 0 0 0.0430995213 0 0 0 0 0 0 0.0946203697 0 0 0 0 0 0 0.0007566421667 0 0 0 0 0 0 0.0007566421667 0 0 0 0 0 0 0.001312886497
4,1785497056.905585766,map,8.3796033859,-3.8187482357,-1.3902781010,0.0482894083,0.0583905102,0.8515019091,0.5188479770,0.04260822046 0 0 0 0 0 0 0.04260822046 0 0 0 0 0 0 0.09389173798 0 0 0 0 0 0 0.0007452910436 0 0 0 0 0 0 0.0007452910436 0 0 0 0 0 0 0.001297920618
5,1785497057.205642939,map,8.3669214249,-3.7970461845,-1.3892809153,0.0489526650,0.0583778588,0.8514791605,0.5188244407,0.04292733985 0 0 0 0 0 0 0.04292733985 0 0 0 0 0 0 0.09436516791 0 0 0 0 0 0 0.0007526616921 0 0 0 0 0 0 0.0007526616921 0 0 0 0 0 0 0.00130764155
6,1785497057.506054163,map,8.3738689423,-3.7923831940,-1.3915917873,0.0489736932,0.0582467960,0.8515470671,0.5187258106,0.04304276359 0 0 0 0 0 0 0.04304276359 0 0 0 0 0 0 0.0945362636 0 0 0 0 0 0 0.0007553297678 0 0 0 0 0 0 0.0007553297678 0 0 0 0 0 0 0.001311157558
7,1785497057.605827808,map,8.3788948059,-3.7915141582,-1.3912426233,0.0488622226,0.0584131627,0.8516136135,0.5186083922,0.04272661524 0 0 0 0 0 0 0.04272661524 0 0 0 0 0 0 0.09406744988 0 0 0 0 0 0 0.0007480245648 0 0 0 0 0 0 0.0007480245648 0 0 0 0 0 0 0.001301527129
8,1785497057.705650806,map,8.3834199905,-3.7854800224,-1.3927143812,0.0489086329,0.0582659008,0.8516710494,0.5185261950,0.04272846491 0 0 0 0 0 0 0.04272846491 0 0 0 0 0 0 0.09407019438 0 0 0 0 0 0 0.0007480672799 0 0 0 0 0 0 0.0007480672799 0 0 0 0 0 0 0.001301583473
9,1785497057.805523872,map,8.3837509155,-3.7941391468,-1.3932048082,0.0490081639,0.0584536099,0.8516335946,0.5185572234,0.04266527916 0 0 0 0 0 0 0.04266527916 0 0 0 0 0 0 0.09397642979 0 0 0 0 0 0 0.0007466082745 0 0 0 0 0 0 0.0007466082745 0 0 0 0 0 0 0.001299658725
10,1785497057.905591249,map,8.3878107071,-3.7938666344,-1.3929491043,0.0487818488,0.0585137902,0.8517199701,0.5184299297,0.04279611142 0 0 0 0 0 0 0.04279611142 0 0 0 0 0 0 0.09417055349 0 0 0 0 0 0 0.0007496296693 0 0 0 0 0 0 0.0007496296693 0 0 0 0 0 0 0.001303644104
11,1785497058.005958796,map,8.3898048401,-3.7972614765,-1.3927521706,0.0488264917,0.0583277686,0.8516998659,0.5184796956,0.04291729596 0 0 0 0 0 0 0.04291729596 0 0 0 0 0 0 0.09435027605 0 0 0 0 0 0 0.0007524295767 0 0 0 0 0 0 0.0007524295767 0 0 0 0 0 0 0.001307335596
12,1785497058.105751276,map,8.3923206329,-3.7967495918,-1.3926424980,0.0488335205,0.0582366599,0.8517095443,0.5184734015,0.04296004451 0 0 0 0 0 0 0.04296004451 0 0 0 0 0 0 0.09441365449 0 0 0 0 0 0 0.0007534175606 0 0 0 0 0 0 0.0007534175606 0 0 0 0 0 0 0.001308637791
13,1785497058.205631495,map,8.3992252350,-3.7313439846,-1.3958604336,0.0490949305,0.0584737649,0.8521756402,0.5176554856,0.04332502302 0 0 0 0 0 0 0.04332502302 0 0 0 0 0 0 0.09495435067 0 0 0 0 0 0 0.0007618591085 0 0 0 0 0 0 0.0007618591085 0 0 0 0 0 0 0.001319755672
14,1785497058.305483341,map,8.3923053741,-3.8210928440,-1.3925931454,0.0489718938,0.0586421990,0.8515912012,0.5186089525,0.04280158605 0 0 0 0 0 0 0.04280158605 0 0 0 0 0 0 0.09417867442 0 0 0 0 0 0 0.0007497561306 0 0 0 0 0 0 0.0007497561306 0 0 0 0 0 0 0.001303810871
15,1785497058.405687332,map,8.4187908173,-3.7311897278,-1.3975421190,0.0487285661,0.0580057093,0.8523478655,0.5174591576,0.04308554815 0 0 0 0 0 0 0.04308554815 0 0 0 0 0 0 0.09459966534 0 0 0 0 0 0 0.0007563190426 0 0 0 0 0 0 0.0007563190426 0 0 0 0 0 0 0.001312460851
16,1785497058.506133080,map,8.4083318710,-3.7862570286,-1.3953214884,0.0486988548,0.0585136710,0.8519697161,0.5180271648,0.0429179721 0 0 0 0 0 0 0.0429179721 0 0 0 0 0 0 0.09435127855 0 0 0 0 0 0 0.0007524452019 0 0 0 0 0 0 0.0007524452019 0 0 0 0 0 0 0.001307356192
17,1785497058.605814695,map,8.4206123352,-3.7443468571,-1.3977963924,0.0489339034,0.0582122920,0.8523275427,0.5174500793,0.04288350745 0 0 0 0 0 0 0.04288350745 0 0 0 0 0 0 0.09430017436 0 0 0 0 0 0 0.0007516487835 0 0 0 0 0 0 0.0007516487835 0 0 0 0 0 0 0.001306306339
18,1785497058.705622435,map,8.4175853729,-3.7707293034,-1.3966320753,0.0487204609,0.0583324841,0.8521157426,0.5178053303,0.04305340723 0 0 0 0 0 0 0.04305340723 0 0 0 0 0 0 0.0945520372 0 0 0 0 0 0 0.0007555758581 0 0 0 0 0 0 0.0007555758581 0 0 0 0 0 0 0.001311481782
19,1785497058.805493832,map,8.4185562134,-3.7732613087,-1.3960207701,0.0487866267,0.0582332288,0.8520695627,0.5178862608,0.04290258756 0 0 0 0 0 0 0.04290258756 0 0 0 0 0 0 0.09432846718 0 0 0 0 0 0 0.0007520896793 0 0 0 0 0 0 0.0007520896793 0 0 0 0 0 0 0.001306887553
20,1785497058.905643940,map,8.4156885147,-3.7751605511,-1.3959560394,0.0487785360,0.0583056265,0.8520237699,0.5179542327,0.04331607887 0 0 0 0 0 0 0.04331607887 0 0 0 0 0 0 0.09494110926 0 0 0 0 0 0 0.0007616521052 0 0 0 0 0 0 0.0007616521052 0 0 0 0 0 0 0.001319483218
21,1785497059.005920410,map,8.4129257202,-3.7797553539,-1.3962910175,0.0489131439,0.0584655602,0.8519730420,0.5180069353,0.04297776605 0 0 0 0 0 0 0.04297776605 0 0 0 0 0 0 0.09443992521 0 0 0 0 0 0 0.0007538271782 0 0 0 0 0 0 0.0007538271782 0 0 0 0 0 0 0.00130917762
