message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,7.8746000000,-2.8897000000,-1.3900000000,0.0000000000,0.0000000000,0.8530502707,0.5218287416,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785497053.405873299,map,8.3772382736,-3.7474927902,-1.3935967684,0.0491089424,0.0581970247,0.8519085512,0.5181247560,0.04282403373 0 0 0 0 0 0 0.04282403373 0 0 0 0 0 0 0.09421197097 0 0 0 0 0 0 0.0007502746882 0 0 0 0 0 0 0.0007502746882 0 0 0 0 0 0 0.001304494666
2,1785497056.106098890,map,8.3896760941,-3.7977132797,-1.3922854662,0.0485901223,0.0583218250,0.8517020709,0.5184990158,0.04313026759 0 0 0 0 0 0 0.04313026759 0 0 0 0 0 0 0.09466592339 0 0 0 0 0 0 0.0007573532225 0 0 0 0 0 0 0.0007573532225 0 0 0 0 0 0 0.001313823083
3,1785497056.605889320,map,8.3724851608,-3.7825505733,-1.3905946016,0.0489151323,0.0584179895,0.8516563457,0.5185327328,0.04291293258 0 0 0 0 0 0 0.04291293258 0 0 0 0 0 0 0.09434380637 0 0 0 0 0 0 0.0007523287409 0 0 0 0 0 0 0.0007523287409 0 0 0 0 0 0 0.00130720268
4,1785497056.805559397,map,8.3803548813,-3.8381035328,-1.3888542652,0.0483281447,0.0585279858,0.8514399682,0.5189305253,0.0432320643 0 0 0 0 0 0 0.0432320643 0 0 0 0 0 0 0.09481670777 0 0 0 0 0 0 0.0007597080032 0 0 0 0 0 0 0.0007597080032 0 0 0 0 0 0 0.001316923988
5,1785497057.205642939,map,8.3669071198,-3.7970676422,-1.3892869949,0.0489456049,0.0583778743,0.8514788134,0.5188257547,0.04292758074 0 0 0 0 0 0 0.04292758074 0 0 0 0 0 0 0.09436552506 0 0 0 0 0 0 0.0007526672591 0 0 0 0 0 0 0.0007526672591 0 0 0 0 0 0 0.001307648888
6,1785497057.405603170,map,8.3728466034,-3.7946531773,-1.3905959129,0.0490207684,0.0584715753,0.8515308634,0.5187226794,0.04287871478 0 0 0 0 0 0 0.04287871478 0 0 0 0 0 0 0.09429306726 0 0 0 0 0 0 0.0007515380413 0 0 0 0 0 0 0.0007515380413 0 0 0 0 0 0 0.001306160346
7,1785497057.506054163,map,8.3869142532,-3.7845020294,-1.3935309649,0.0489696249,0.0582083259,0.8517173717,0.5184508613,0.04304736305 0 0 0 0 0 0 0.04304736305 0 0 0 0 0 0 0.09454307995 0 0 0 0 0 0 0.00075543611 0 0 0 0 0 0 0.00075543611 0 0 0 0 0 0 0.001311297666
8,1785497057.605827808,map,8.3893880844,-3.7860438824,-1.3925524950,0.0488243158,0.0583639059,0.8517504706,0.5183926633,0.04273206623 0 0 0 0 0 0 0.04273206623 0 0 0 0 0 0 0.09407553789 0 0 0 0 0 0 0.0007481504475 0 0 0 0 0 0 0.0007481504475 0 0 0 0 0 0 0.001301693176
9,1785497057.705650806,map,8.3901891708,-3.7822763920,-1.3932557106,0.0488920193,0.0582544941,0.8517603505,0.5183824515,0.04273502288 0 0 0 0 0 0 0.04273502288 0 0 0 0 0 0 0.09407992481 0 0 0 0 0 0 0.0007482187282 0 0 0 0 0 0 0.0007482187282 0 0 0 0 0 0 0.001301783241
