message_index,stamp_sec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,covariance
0,0.000000000,map,8.3300000000,-3.7800000000,-1.3900000000,0.0000000000,0.0000000000,0.9307051304,0.3657703655,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1,1785497053.405873299,map,8.3796081543,-3.7474248409,-1.3938663006,0.0491024596,0.0582000587,0.8519316100,0.5180871368,0.04282489962 0 0 0 0 0 0 0.04282489962 0 0 0 0 0 0 0.09421325529 0 0 0 0 0 0 0.0007502946918 0 0 0 0 0 0 0.0007502946918 0 0 0 0 0 0 0.001304521043
2,1785497056.605889320,map,8.3730907440,-3.8707351685,-1.3883066177,0.0487176434,0.0590520861,0.8512871599,0.5190853773,0.04297773854 0 0 0 0 0 0 0.04297773854 0 0 0 0 0 0 0.09443988442 0 0 0 0 0 0 0.0007538265421 0 0 0 0 0 0 0.0007538265421 0 0 0 0 0 0 0.001309176782
3,1785497057.705650806,map,8.3577823639,-3.7776062489,-1.3894680738,0.0490046035,0.0582901137,0.8514548826,0.5188694230,0.04272407721 0 0 0 0 0 0 0.04272407721 0 0 0 0 0 0 0.09406368398 0 0 0 0 0 0 0.0007479659536 0 0 0 0 0 0 0.0007479659536 0 0 0 0 0 0 0.001301449816
4,1785497058.005958796,map,8.3559827805,-3.8027899265,-1.3885952234,0.0488711052,0.0582600820,0.8513007295,0.5191380870,0.04291889175 0 0 0 0 0 0 0.04291889175 0 0 0 0 0 0 0.09435264212 0 0 0 0 0 0 0.0007524664549 0 0 0 0 0 0 0.0007524664549 0 0 0 0 0 0 0.001307384207
5,1785497058.305483341,map,8.3509254456,-3.8244559765,-1.3866444826,0.0491018196,0.0587735717,0.8511967176,0.5192291127,0.0427605308 0 0 0 0 0 0 0.0427605308 0 0 0 0 0 0 0.09411776997 0 0 0 0 0 0 0.0007488078367 0 0 0 0 0 0 0.0007488078367 0 0 0 0 0 0 0.001302560256
6,1785497058.506133080,map,8.3568172455,-3.8260018826,-1.3877458572,0.0487750607,0.0587913128,0.8512760707,0.5191277608,0.04289392348 0 0 0 0 0 0 0.04289392348 0 0 0 0 0 0 0.09431561996 0 0 0 0 0 0 0.0007518894693 0 0 0 0 0 0 0.0007518894693 0 0 0 0 0 0 0.00130662363
7,1785497058.605814695,map,8.4021129608,-3.7349092960,-1.3954418898,0.0490397751,0.0582501894,0.8522032125,0.5176405383,0.04288225754 0 0 0 0 0 0 0.04288225754 0 0 0 0 0 0 0.09429832086 0 0 0 0 0 0 0.0007516199021 0 0 0 0 0 0 0.0007516199021 0 0 0 0 0 0 0.001306268265
8,1785497058.705622435,map,8.4032716751,-3.7587080002,-1.3946387768,0.0488765138,0.0582683306,0.8520673520,0.5178775137,0.04303065418 0 0 0 0 0 0 0.04303065418 0 0 0 0 0 0 0.09451831701 0 0 0 0 0 0 0.0007550497995 0 0 0 0 0 0 0.0007550497995 0 0 0 0 0 0 0.001310788685
9,1785497058.805493832,map,8.4051237106,-3.7647497654,-1.3943997622,0.0488309575,0.0582263110,0.8520232217,0.5179591306,0.04289329132 0 0 0 0 0 0 0.04289329132 0 0 0 0 0 0 0.09431468257 0 0 0 0 0 0 0.0007518748615 0 0 0 0 0 0 0.0007518748615 0 0 0 0 0 0 0.001306604373
